COULSDON-THE-CHASE-(HOWARD-ROAD),,,,,,,,,
Grid ref,TQ295599,Long,-0.14287,Lat,51.32402,Elevation,425,ft,
Station no,91,,,,,,,,
,,,,,,,,,
,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.37,2.34,1.38,5.92,5.68,3.07,5.66,
February,,3.11,0.49,3.63,2.27,5.23,0.9,1.9,
March,,3.79,2.65,0.33,1.49,3.96,0.47,1.57,
April,,0.73,3.13,3.38,1.86,2.95,0.21,3,
May,,2.21,0.7,1.5,0.45,2.6,2.26,1.96,
June,1.22,1.48,1.02,3.3,2.63,1.8,0.62,1.01,
July,2.48,1.95,1.51,1.17,4.11,0.77,1.63,2.78,
August,1.06,0.79,2.45,2.99,2.06,1.71,2.51,3.28,
September,2.06,3,1.56,3.97,3.11,2.78,2.54,1.88,
October,5.94,2.21,2.23,3.99,2.5,3.46,3.08,6.32,
November,1.34,1.34,2.74,5.39,4.68,2.13,4.03,5.22,
December,0.72,0.55,7.89,4.38,3.66,4.69,3.66,1.94,
Total,,23.53,28.71,35.41,34.74,37.76,24.98,36.52,
,,,,,,,,,
31 Howard Rd,,,,,,,,,
1930 Gauge read at 9am winter and summer,,,,,,,,,
1932 June 1 Gauge moved to 0.25 miles SW from The Chase,,,,,,,,,
1937 Jan 1 Gauge moved 20ft E,,,,,,,,,
1940 Station terminated,,,,,,,,,
