HOLLINGTON-BALDSLOW-RES,,,,,,,,,,
Grid ref,TQ796132,Long,0.552226,Lat,50.890363,Elevation,422,ft,,
Station no,545/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.39,4.19,5.03,2.63,3.46,3.28,2.59
February,,,,2.75,1.82,0.9,4.25,2.83,0.08,2.16
March,,,0.26,3.84,1.19,0.67,1.67,1.17,1.73,2.74
April,,,1.8,0.42,0.33,1.59,0.25,1.21,2.55,1.49
May,,,1.87,2.09,4.95,0.44,1.12,2.1,0.87,2.41
June,,,1.81,2.67,1.95,2.49,0.71,3.95,0.58,1.9
July,,,3.33,3.47,0.78,2.87,3.8,3.18,1.98,2.16
August,,,2.87,3.82,2.39,3.73,2.27,4.91,0.89,5.03
September,,,3.47,3.31,2.25,3.66,4.09,3.79,0.17,2.69
October,,,3.2,3.31,4.87,1.63,1.86,5.05,3.37,7.18
November,,,2.32,5.61,1.41,0.97,3.03,2.43,5.06,6.16
December,,,0.89,1.77,4.12,4.32,1.87,4.38,6.2,4.31
Total,,,,34.45,30.25,28.3,27.55,38.46,26.76,40.82
,,,,,,,,,,
,,,,,,,,,,
