CAVERSHAM-ST-PETERS-HILL-OBSERVER-PROCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU707751,Long,-0.98352191,Lat,51.470459,Elevation,220,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.6,3.62,1.13,1.51,3.02,3.37,2.6,2.44,2.61,1.52,3.19,1.82,2.7,1.95,3.39,1.22,3.32,1.25,1.83,,,,,,,,
February,,,,,2.6,3.93,4.25,1.07,1.13,2.73,1.49,0.24,2.35,3.63,0.4,3.38,2.02,3.82,1.83,0.68,0.63,1.7,0.15,,,,,,,,
March,,,,,4.08,0.99,4.94,1.66,0.85,4.75,0.65,1.22,1.74,2.98,0.9,0.68,0.49,2.88,2.02,0.07,0.88,0.09,1.37,,,,,,,,
April,,,,,0.71,0.88,0.62,1.78,3.62,2.46,3.21,0.74,2.92,2.72,2.74,1.88,3.1,1.54,1.35,1.02,1.66,2.78,2.59,,,,,,,,
May,,,,,1.93,3.09,1.84,1.25,1.26,0.21,1.59,1.44,0.69,1.71,3.38,2.92,1.51,1.1,1.42,1.02,1.56,2.91,4.58,,,,,,,,
June,,,,,1.15,1.06,1.83,2.19,0.72,0.95,2.06,0.33,1.25,0.47,2.57,0.06,2.93,3.14,1.78,0.92,0.38,0.81,1.29,,,,,,,,
July,,,,,2.2,4.9,0.87,5.56,5.92,1.64,6.03,0.13,4.52,1.35,3.89,3.23,2.08,4.62,2.25,1.28,2.65,3.78,2.52,,,,,,,,
August,,,,,2.03,2.74,5,4.69,1.28,2.67,1.34,1.57,3.66,2.15,2.39,4.23,1.33,2.62,2.05,0.72,2.21,4.32,2.12,,,,,,,,
September,,,,,0.88,3.01,1.28,1.94,5.18,2.96,1.47,2.55,1.47,2.22,3.29,2.94,0.68,4.84,1.19,0.53,2.94,1.68,2.82,,,,,,,,
October,,,,,1.97,2.85,4.42,4.23,1.49,1.15,2.57,1.45,0.78,4.6,3.49,3.45,2.27,1.67,3.94,2.93,1.24,0.53,4.09,,,,,,,,
November,,,,,2.2,1.93,4.17,0.78,2.22,1.5,1.27,1.8,1.25,1.68,2.72,2.11,5.57,3.01,2.27,6.54,4.44,3.19,1.24,,,,,,,,
December,,,,,6.57,5.31,3.18,1,2.12,4.8,2.38,1.42,2.57,2.74,3.46,2.56,0.48,3.72,2.15,5.65,2.81,0.74,0.53,,,,,,,,
Total,,,,,26.92,34.31,33.53,27.66,28.81,29.19,26.66,15.33,25.81,27.77,32.42,29.26,25.16,34.91,25.64,22.58,24.72,23.78,25.13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is 20 St Peters Hill. Altitude matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
