"BARNARD CASTLE COUNTY SCHOOL",,,,,,,,,,,,
Grid ref,NZ058162,Long,-1.911866,Lat,54.541032,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,1.82,1.00,3.89,2.80,0.92,3.85,1.63,1.47,1.94,,
February,4.99,0.66,0.85,3.90,2.19,1.04,1.63,2.15,3.08,1.61,,
March,0.66,2.32,1.20,3.59,2.01,2.11,1.91,2.06,3.61,4.63,,
April,2.03,1.78,1.71,1.35,2.22,2.19,0.75,1.76,2.42,1.84,,
May,2.08,1.43,2.32,3.87,3.03,0.64,3.58,4.08,2.50,1.56,,
June,5.26,1.23,1.17,1.84,1.46,0.84,0.87,2.76,1.17,2.23,,
July,1.69,2.30,3.75,3.00,1.60,0.34,1.32,2.32,2.60,2.41,,
August,5.62,1.41,2.25,2.83,2.68,4.34,2.19,1.59,2.37,1.97,,
September,0.79,1.42,0.72,2.58,1.14,2.03,0.51,0.31,2.96,2.03,,
October,5.44,2.01,2.67,8.96,1.22,1.87,3.59,5.70,2.04,2.35,,
November,3.27,5.58,2.31,1.62,2.55,4.86,3.13,2.13,1.43,0.66,,
December,2.29,3.00,3.00,1.55,1.79,0.45,2.45,3.76,0.83,3.90,,
Total,37.32,24.96,22.95,38.98,24.69,21.63,25.78,30.25,26.48,27.13,,
Calc annual,37.32,24.96,22.95,38.98,24.69,21.63,25.78,30.25,26.48,27.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
