KEELE-UNIVERSITY,,,,,,,,,,
Grid ref,SJ820446,Long,-2.2696462,Lat,52.998417,Elevation,587,ft.,,
Station no,2357/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.77,1.11,1.66,2.63,3.92,1.68,2.72,3.03,4.94
February,,1.03,1.86,2.93,1.67,0.67,2.36,4.15,0.44,2.23
March,,1.62,1.18,2.16,2.64,1.72,2.78,1.39,1.59,1.35
April,,2.93,2.53,0.78,1.57,1.39,0.4,1.04,3.44,1.33
May,,2.05,2.21,2.62,3.14,0.8,1.13,3.04,1.43,1.87
June,,2.32,4.42,4.53,3.85,2.41,2.07,4.77,1.22,3.71
July,,1.27,2.92,3.13,0.51,5.29,6,3.68,1.5,3.83
August,,2.19,3.1,4.87,1.2,5.62,6.62,3.7,1.65,4.57
September,,2.29,2.39,3.4,2.89,2.17,5.69,4.04,0.18,4.66
October,,3.59,2.14,5.7,1.56,2.27,2.51,3.61,1.86,4.31
November,,1.74,1.7,5.49,1.89,1.23,1.65,1.81,3.27,3.96
December,3.51,3.43,1.51,3.41,2.61,2.98,1.66,2.77,5.18,2.6
Total,,27.23,27.07,40.68,26.16,30.47,34.55,36.72,24.79,39.36
,,,,,,,,,,
MIDAS src_id 622 KEELE Start 1951 and still current,,,,,,,,,,
NGR is from the 1950s record and is near Keele University. Stated altitude is 25 ft. too high or the gauge is 100m NW to match altitude,,,,,,,,,,
