BRENTWOOD (SECONDARY BOYS SCHOOL),,,,,,,,,,,,
Grid ref,TQ586942,Long,0.289795,Lat,51.624272,,,,,,,
Station no,1263/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.86,1.87,0.95,0.94,2.09,,,,,,,
February,5.46,0.63,1.36,1.65,1.58,,,,,,,
March,3.20,2.66,0.47,2.48,0.59,,,,,,,
April,2.50,1.04,1.91,0.23,0.13,,,,,,,
May,2.58,1.28,1.42,1.64,4.18,,,,,,,
June,0.78,2.26,1.29,2.73,2.31,,,,,,,
July,1.23,0.73,3.48,2.49,0.27,,,,,,,
August,3.11,1.98,1.38,3.44,0.47,,,,,,,
September,2.87,2.88,2.71,1.84,2.58,,,,,,,
October,0.70,2.04,3.56,3.66,3.66,,,,,,,
November,3.86,3.48,0.86,3.91,0.93,,,,,,,
December,1.63,1.70,0.84,1.20,1.39,,,,,,,
Total,29.78,22.55,20.23,26.21,20.18,,,,,,,
Calc annual,29.78,22.55,20.23,26.21,20.18,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
