HIGH-WYCOMBE-HAZELMERE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU889952,Long,-0.71648357,Lat,51.648577,Elevation,568,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.88,2.36,3.59,2.24,4.73,1.29,3.69,2.15,2.01,1.03,2.37,0.83,4.5,6.2,3.53,5.97,2.16,2.51,3.14,5.14,2.07,1.67,,,,,
February,,,,,0.47,3.25,2.28,3.67,2.1,1.11,0.95,,0.17,2.86,0.2,2.49,2.42,5.04,0.59,1.36,2.44,2.69,1.31,1.39,1.53,2.58,,,,,
March,,,,,1.45,0.68,0.26,2.45,1.93,0.06,1.71,0.07,1.46,3.05,2.57,0.63,1.8,3.76,0.31,1.76,2.59,2.7,2.03,0.6,0.33,0.39,,,,,
April,,,,,3.29,1.88,3.22,1.38,1.36,1.1,2.15,3.37,2.79,1.01,1.93,4.67,1.45,3.35,0.07,3.79,2.07,2.14,1.67,1.08,1.76,1.27,,,,,
May,,,,,3.75,2.71,2.29,1.16,1.84,3.08,2.1,,4.84,1.49,0.65,1.25,,3.25,2.16,1.95,1.49,1.97,3.52,3,0.7,1.29,,,,,
June,,,,,2.97,0,2.89,3.35,2.35,1.13,0.38,,0.21,1.1,0.99,3.57,,2.15,0.38,1.5,0.5,1.62,0.54,1.92,1.44,0.96,,,,,
July,,,,,4.19,4.14,2.39,4.45,2.72,0.88,2.97,4.31,1.83,1.78,1.13,0.63,5.09,0.68,1.23,2.75,1.58,6.73,2.26,1.88,2.31,1.83,,,,,
August,,,,,2.54,,0.89,4.1,2.59,0.89,2.71,,2.62,0.33,2.6,1.82,,2.03,2.75,3.59,0,4.7,2.8,2.1,2,1.5,,,,,
September,,,,,3.62,3.15,1.45,5.58,1.15,0.35,3.85,2.67,2.85,2.03,2.22,5.33,4.47,6.41,1.87,0.49,1.35,0.28,1.66,2.19,3.29,1.3,,,,,
October,,,,,3.39,3.97,2.32,2.45,4.26,4.15,1.41,0.84,5.21,2.05,2.21,3.39,1.83,2.85,3.61,5.07,2.79,1.07,4.36,3.61,4.13,3.3,,,,,
November,,,,,2.78,1.83,4.95,3.53,2.39,6.02,4.69,3.13,2.37,1.17,2.25,4.74,4.68,1.43,3.58,5.69,7.48,3.25,1.49,1.55,4.34,0.19,,,,,
December,,,,,4.87,2.62,0.38,2.82,2.65,5.43,3.37,1.4,1.23,0.85,7.47,3.73,3,3.09,3.56,1.99,1.32,2.03,3.62,1.58,1.63,3.39,,,,,
Total,,,,,36.2,,26.91,37.18,30.07,25.49,29.98,,27.59,18.75,26.59,33.08,,40.24,23.64,35.91,25.77,31.69,28.4,26.04,25.53,19.67,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Feb May Jun Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 May Jun Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
