"HASTINGS FILSHAM RESERVOIR",,,,,,,,,,,,
Grid ref,TQ7798109101,Long,0.527238,Lat,50.854039,,,,,,,
Station no,538/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.22,2.85,3.72,0.99,4.11,1.23,1.54,1.04,,
February,,,1.45,1.68,2.99,0.55,2.48,1.26,1.17,0.35,,
March,,,1.31,1.82,1.37,4.13,1.78,0.86,2.07,3.55,,
April,,,0.77,1.82,1.17,1.44,1.60,2.81,1.87,2.20,,
May,,,1.79,2.10,1.95,1.08,2.51,2.18,1.23,1.20,,
June,,,2.21,3.17,1.73,3.26,1.40,2.21,1.65,2.59,,
July,,,0.82,5.46,0.66,0.85,0.22,2.42,2.81,2.57,,
August,,,4.27,2.65,0.84,2.84,1.25,1.36,3.58,3.06,,
September,,,2.55,2.78,1.80,2.80,0.97,0.72,2.02,3.09,,
October,,,2.11,4.43,2.28,1.86,4.07,4.87,1.93,5.51,,
November,,,1.98,2.24,1.74,5.07,6.41,2.37,1.21,0.78,,
December,,,2.04,2.13,3.25,1.23,2.34,2.79,2.59,5.82,,
Total,,,22.52,33.13,23.50,26.10,29.14,25.08,23.67,31.76,,
Calc annual,0.00,0.00,22.52,33.13,23.50,26.10,29.14,25.08,23.67,31.76,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
