"TOTNES (DUNDRIDGE GARDENS)",,,,,,,,,,,,
Grid ref,SX782582,Long,-3.715535,Lat,50.411007,,,,,,,
Station no,1691,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.36,,0.96,2.50,6.61,6.08,5.40,,,,,
February,7.69,,2.58,6.33,3.60,0.63,7.19,,,,,
March,7.37,,0.81,5.72,1.75,2.21,4.24,,,,,
April,3.17,,4.25,0.59,1.75,1.37,0.53,,,,,
May,4.02,,6.45,2.61,5.10,1.21,3.01,,,,,
June,1.34,,2.68,4.07,3.88,2.99,1.88,,,,,
July,1.99,,5.73,4.32,2.56,5.16,4.84,,,,,
August,7.33,,3.82,4.26,0.40,5.31,3.33,,,,,
September,6.35,,4.46,5.77,1.68,9.79,3.14,,,,,
October,1.49,,5.00,5.35,4.14,2.18,2.69,,,,,
November,6.68,,3.29,12.38,6.52,1.63,2.75,,,,,
December,6.57,,1.21,5.07,9.10,9.24,2.84,,,,,
Total,61.36,,41.25,58.97,47.09,47.80,41.84,,,,,
Calc annual,61.36,0.00,41.24,58.97,47.09,47.80,41.84,0.00,0.00,0.00,,
Difference,-0.00,NaN,0.01,-0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
