CHIPPENHAM-LACOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST918692,Long,-2.119318,Lat,51.421751,Elevation,202,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.02,4.29,,,,,,,,0.6,2.09,1.75,2.99,3.57,2.7,3.95,2.01,0.84,0.76,3.43,2.48,1.2,2.38,2.46,3.12,0.71,1.89,0.44,4.8,3.01,1.95,1.36,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.13,1.81,,,,,,,,3.74,4.24,2.17,3.32,2.15,3.17,0.55,0.84,1.51,1.61,0.71,0.01,1.2,3.83,2.82,0.18,0.36,3.27,2.03,3.43,4.89,0.96,1.11,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.45,1.8,,,,,,,,1.85,1.87,2.25,0.99,2.32,1.11,2,2.21,3.15,2.75,1.24,1.82,0.96,0.67,2.43,2.44,3.68,3.97,0.67,0.67,1.28,2.29,1.63,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,4.14,2.45,,,,,,,,2.2,0.62,4.41,0.79,1.58,2.1,2.12,1.1,2.12,3.75,1.4,0.97,1.08,0.05,2.6,2.25,1.16,2.58,2.19,3.26,1.64,2.4,1.9,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.14,1,1.86,,,,,,,,0.89,1.57,1.95,1.56,1.57,3.03,4.84,1.68,1.23,2.54,2.13,3.3,1.17,1.3,2.29,1,0.23,1.12,2.82,2.38,1.86,1.54,1.94,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.39,2.94,3.06,,,,,,,,1.71,2.47,3.93,3.12,3.26,1.2,1.33,0.95,4.11,1.38,3.57,1.17,2.52,1.63,2.38,0.7,1.97,3.06,1.89,1.88,1.81,1.79,3.4,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.12,3.97,1.43,,,,,,,,4.28,3.09,4.68,3.82,3.3,0.3,3.33,1.47,4.23,2.95,3.41,2.28,2.16,4.64,3.64,4.31,1.23,1.16,0.35,0.94,1.01,2.61,1.31,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.61,1.33,1.66,,,,,,,,1.78,4.83,3.07,1.52,1.5,2.58,1.51,1.18,2.63,3.04,2.66,6.51,3.71,1.37,3,2.99,2.67,4.64,1.68,1.42,3.46,2.36,2.93,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.21,5.93,1.26,,,,,,,,4.14,1.87,3.16,4.37,1.77,5.8,2.36,2.41,1.64,1.62,1.59,1.96,2.97,1.37,2.49,1.27,6.02,2.92,0.91,3.34,0.66,2.27,1.23,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.76,1.5,3.3,,,,,,,,4.39,1.58,5.31,2.83,0.95,4.12,4.18,2.28,1.16,2.43,1.14,7.77,3.6,4.15,3.88,3.91,2.86,1.62,4.41,2.62,3.14,1.83,1.95,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
