BATTLE-WEBSTER (BATTLE ABBEY),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ750156,Long,0.48803861,Lat,50.913335,Elevation,200,ft,,,,,,,,,,,,
Station no,RR6716,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.6,2.32,4.25,1.3,5.1,5.33,4.42,4.56,3.23,2.55,2.62,5.37,3.68,2.75,,,,,
February,,1.8,0.89,1.16,2.5,3.21,5.02,2.2,1.17,2.24,1.39,1.46,1.91,2.22,1.27,,,,,
March,,2.2,4.97,1.2,2.68,2.14,2.23,3.81,1.56,2.25,1.96,1.62,2.59,2.87,0.66,,,,,
April,,0.8,1.3,0.74,1.04,0.26,2.21,2.35,2.14,1.49,0.41,4.76,1.11,1.02,2.58,,,,,
May,,1.6,2.65,2.75,2.43,3.87,1.09,3.66,1.07,4.61,1.98,1.12,2.95,1.36,1.14,,,,,
June,,1.8,1.91,3.73,1.48,1.44,1.77,1.55,0.57,0.79,0.66,2.45,2.77,2.67,1.79,,,,,
July,,2.2,1.95,0.78,0.88,2.94,2.05,4.06,2.01,0.31,1.39,3.09,2.21,1.78,1,,,,,
August,,1.34,2.14,2.3,2.24,3.33,3.25,1.75,3.83,2.03,2.08,1.2,1.88,2.54,2.34,,,,,
September,,4.89,2.56,4.16,4,0.09,6.62,1.89,2.33,4.51,3.55,3.96,2.8,2.59,4.04,,,,,
October,,1.67,8.14,3.52,2.15,11.88,1.72,3.56,3.61,2.07,5.24,1.43,5.95,4.59,3.81,,,,,
November,,7.5,0.59,1.95,6.28,3.16,2.9,2,1.8,2.55,2.81,0.58,7.08,2.61,2.08,,,,,
December,,1.79,3.05,2.51,1.32,2.18,2.8,2,6.79,4.17,4.43,1.87,6.86,0.84,2.42,,,,,
Total,,28.19,32.47,29.05,28.3,39.6,36.99,33.25,31.44,30.25,28.45,26.16,43.48,28.77,25.88,,,,,
