HASSOCKS-HURST-WICKHAM-RISE,,,,,,,,,,
Grid ref,TQ291163,Long,-0.16422862,Lat,50.931711,Elevation,170,ft,,
Station no,493/3,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.13,6.48,2.4,1.94,3.21,3.25,6.43,1.72,1.37
February,,0.73,1.76,0.81,2.13,3.48,2.31,1.54,1.75,5.89
March,,3.17,0.28,0.16,1.74,1.52,6.84,0.88,0.96,2.09
April,,1.74,1.49,2,1.28,2.15,1.98,1.87,1.5,2.54
May,,3.56,2.95,0.51,2.41,2.79,1.46,3.67,1.71,0.96
June,,0.17,1.35,1.72,2.25,3.63,3.04,2.85,1.08,1.24
July,,2.03,2.02,2.76,4.1,1.72,3.17,1.47,0.22,3.08
August,,4.28,1.31,1.83,2.09,7.65,0.66,5.25,1.36,2.99
September,,1.93,1.7,3.22,2.29,3.55,2.34,1.98,2.08,3.12
October,,4.04,3.19,5.11,3.6,0.86,0.73,2.25,8.46,0.72
November,,2.18,1.96,6.26,0.28,5.62,1.58,2.13,4.16,8.2
December,,3.27,2.6,2.74,5.29,4.56,2.51,4.38,1.88,2.33
Total,,30.23,27.09,29.52,29.4,40.74,29.87,34.7,26.88,34.53
