MORPETH SHEEPWASH,,,,,,,,,,
Grid ref,NZ255858,Long,-1.6012647,Lat,55.165864,Elevation,24,ft,,
Station no,RR8704,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.3,3.22,1.38
February,,,,,,,,1.85,1.07,3.33
March,,,,,,,,3.04,0.89,0.5
April,,,,,,,,4.57,1.76,2.98
May,,,,,,,,3.05,2.41,2.42
June,,,,,,,,1.19,1.84,3.83
July,,,,,,,,2.82,0.43,4.42
August,,,,,,,,6.97,3.9,3.95
September,,,,,,,,1.54,1.52,0.61
October,,,,,,,,3.38,1.25,0.46
November,,,,,,,,1.58,7.37,3.1
December,,,,,,,,1.87,4.65,0.59
Total,,,,,,,,35.16,30.31,27.57
