EAST-MERSEA-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TM050144,Long,0.97111632,Lat,51.790676,Elevation,56,ft,,,,,,,,,,,,
Station no,RR6676,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.95,0.69,1.87,1.07,0.47,1.92,1.76,1.48,1.11,1.91,,
February,,,,,,,,,1.67,1.58,0.95,0.14,1.96,2.99,1.21,0.39,0.66,2.07,,
March,,,,,,,,,2.37,1.17,2.47,1.09,1.23,0.36,0.64,1.14,2.1,2.49,,
April,,,,,,,,,1.33,1.62,1.25,0.49,1.73,0.11,2.33,1.26,0.81,1.67,,
May,,,,,,,,,0.73,2.68,1.86,2.13,0.6,0.95,1.9,0.19,0.3,0.71,,
June,,,,,,,,,2.39,1.65,2.27,1.83,3.8,1.22,2.24,0.56,2.54,2.45,,
July,,,,,,,,,4.33,2.74,3.25,3.73,1.43,2.77,4.59,4.71,0.53,0.41,,
August,,,,,,,,,2.14,3.24,3.31,3.43,3.85,1.07,1.84,1.64,2.91,2.28,,
September,,,,,,,,,1.23,2.07,1.16,0.65,1.97,1.45,1.46,0.66,3.44,2.47,,
October,,,,,,,,,1.04,4.01,1.4,4.17,5.47,2.13,2.48,2.47,2.45,0.32,,
November,,,,,,,,,3.92,0.88,2.73,1.35,2.08,2.22,2.53,2.37,0.9,1.63,,
December,,,,,,,,,0.9,1.16,0.64,2.18,1,1.54,1.68,2.1,2.32,1.48,,
Total,,,,,,,,,23,23.49,23.16,22.26,25.59,18.73,24.66,18.97,20.07,19.89,,
