BEN NEVIS OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN166712,Long,-5.004712,Lat,56.796089,Elevation,4407,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,7.53,12.76,17.8,16.03,17.69,29.42,14.2,22.32,12.23,15.96,6.88,16.2,3.42,27.08,15.3,35.32,20.12,24.75,33.45,21.71,,,,,
February,,,,,,16.94,2.84,13.3,8.79,14.86,4.57,15.09,12.3,10.33,33.55,3.54,11.15,16.22,30.09,10.56,7.75,5.91,3.36,36.24,11.41,,,,,
March,,,,,,12.82,5.91,5.9,7.45,12.11,27.31,14.78,5.42,12.57,14.58,14.32,19.55,17.24,19.07,25.21,3.84,14.95,18.73,37.96,8.65,,,,,
April,,,,,,4.86,4.59,7.53,6.89,3.89,8.09,2.45,5.91,5.99,3.5,11.74,10.04,6.55,10.76,17.01,20.22,12.87,9.87,8.36,26.57,,,,,
May,,,,,,8.37,6.25,3.97,12.87,4.39,6.01,7.01,14.07,5.48,6.66,3.69,2.91,10.91,8.74,6.88,11.52,4.74,15.84,6.61,10.88,,,,,
June,,12.31,8.84,5.74,,6.84,7.6,7.51,3.76,1.94,14.66,7.51,9.56,5.88,8.33,3.92,9.74,8.46,10.37,7.61,6.97,13.19,2.91,6.44,9.35,,,,,
July,,15.19,9.65,8.13,9.92,7.54,10.99,14.54,7.82,4.09,13.22,10.53,10.83,12.32,11.34,10.79,6.87,14.13,11.74,15.23,13.12,4.54,12.22,13.26,8.03,,,,,
August,,12.34,11.39,12.61,8.62,7.56,10.16,8.71,12.37,18.32,14.33,19.16,15.47,14.79,17.7,12.75,11.01,11.88,18.61,5.58,11.85,12.93,9.37,20.97,11.69,,,,,
September,,,10.02,9.77,11.66,20.87,13.03,10.99,6.9,7.28,20.71,43.55,21.9,19.25,1.32,8.95,10.78,17.04,24.81,20.78,16.96,10.65,12.45,10.72,13.15,,,,,
October,,,6.41,,20.24,19.04,8.16,12.19,17.21,6.62,37.3,14.34,9.53,22.84,4.67,12.07,13.07,12.08,13.86,18.11,20.93,16.01,16.31,18.66,,,,,,
November,,,,,19.1,9.8,14.57,8.99,20.6,11.48,18.96,11.88,13.87,18.43,17.4,13.87,9.77,17.78,21.27,32.49,10.28,15.09,7.86,17.27,,,,,,
December,,,,,25.29,24.33,10.98,17.58,11.77,18.04,3.76,17.48,9.73,25.66,14.93,15.41,12.47,20.07,43.65,12.55,48.34,25.43,23.42,6.81,,,,,,
Total,,,,,,146.5,107.84,129.01,132.46,120.71,198.34,177.98,150.91,165.77,149.94,117.93,133.56,155.78,240.05,187.31,207.1,156.43,157.09,216.75,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept 1881  part of month only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
