ACHARIACH,,,,,,,,,,
Grid ref,NN142684,Long,-5.041913,Lat,56.770019,Elevation,150,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,11.02,,,,,,,
February,,,1.76,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,9.65,,,,,,,,
November,,5.42,,,,,,,,
December,,11.8,,,,,,,,
Total,-999,,,,,,,,,
,,,,,,,,,,
See Treatise by Mr. R.O. Mossman,,,,,,,,,,
ON THE METEOROLOGY OF GLEN NEVIS,,,,,,,,,,
Royal Society of Edinburgh 44 parts 1 and 2 Pages 633 to 686,,,,,,,,,,
