WEYCOMBE-HASLEMERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU907341,Long,-0.7058,Lat,51.0994,Elevation,562,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,6.81,5.02,2.02,3.53,8.76,5.1,2.26,5.29,1.42,7.87,1.78,3.87,1.12,2.22,2.29,3.64,3.93,3.34,4.36,2.33,1.06,1.46,4.15,2.62,0.75,2.17,4.88,2.5,1.08,2.6,0.54,3.92,3.8,1.45,1.29,2.88,5.62,1.42,7.08,0.95,2.1,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.82,4.02,3.71,2,2.89,3.68,2.46,2.86,3.87,1.61,2.65,4.52,3.89,3.56,2.23,5.47,2.28,4.01,0.56,0.88,1.98,2.68,1.12,0.1,1.26,4.23,1.91,0.12,0.56,3.64,2.2,3.2,6.6,1.75,1.91,2.23,4.1,0.69,3.25,1.75,1.42,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.47,1.78,3.49,1.94,3.24,2.46,0.62,0.98,3.04,3.56,1.2,0.64,1.74,2.8,0.81,1.12,2.2,2.33,2.64,2.02,5.09,2.99,1.73,2.82,1.11,0.06,2.08,2.29,3.88,4.87,2.18,0.95,0.8,1.14,2.08,2.89,1.39,5.12,1.66,1.75,3.65,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.27,3.01,1.21,0.3,4.69,1.15,0.59,3.11,1.31,2.96,2.87,3.5,3.32,2.39,0.47,4.15,1.6,1.53,1.45,1.17,1.78,1.91,2.6,2.56,1.1,0.95,0.03,2.32,2.44,0.46,1.85,1.43,2.63,1.05,2.68,1.06,2.67,1.61,1.36,0.36,5.15,3.5,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.43,1.44,5.01,1.86,0.19,3.7,1.77,1.63,1.18,0.72,2.89,4.55,3.23,0.48,1.25,1.32,2.05,0.56,4.47,4.53,1.36,2.21,2.9,1.3,2.11,0.8,0.68,1.96,0.5,0.3,1.44,4.14,1.28,1.46,0.81,1.9,3.07,3.6,0.42,2.27,2.37,2.35,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.65,1.31,1.4,0.42,1.39,3.47,2.4,2.94,2.67,1.97,3.18,1.28,6.28,4.11,2.25,3.48,2.3,2.03,1.61,0.75,0.78,3.39,1.38,2.68,1.48,1.82,1.1,2.2,0.26,3.22,2.06,1.86,1.42,4,1.6,2.88,4.24,0.94,5.93,1.61,1.8,0.83,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,6.48,3.59,1.25,0.85,4.77,4.01,2.61,1.87,6.69,0.67,2.12,1.74,5,3.54,2.6,3.64,2.31,2.98,0.39,2.52,0.68,6.93,2.03,3.9,2,2.2,3.54,4.62,4.26,1.4,0.8,0.32,0.8,1.35,2.45,0.92,3.41,1.13,0.62,0.43,1.24,2.95,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.74,4.81,1.49,1.85,1.78,2.13,2.46,3.75,1.44,3.44,3.69,4.54,4.65,1.2,7.49,2.04,1.73,1.38,1.22,1.76,2.78,2.54,2.38,2.98,5.76,3.07,1.05,2.18,2.6,2.2,4.85,1.4,0.38,2.7,1.61,3.55,4.7,2.43,3.65,1.66,2.17,5.22,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.05,3.06,6.73,2.85,6.3,1.91,2.07,3.74,1.31,4.19,1.25,1.54,4.22,6.32,1.47,2.56,2.95,2.84,6.92,2.35,3.97,1.49,0.92,1.26,1.64,3.7,1.68,2.46,0.44,7.58,1.96,2.1,3.48,1.02,1.56,0.92,3.44,2.19,2.16,2.09,0.45,1.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.04,3.46,2.78,4.99,1.55,6.37,3.07,4.95,7.98,2.09,3.28,4.06,1.06,6.9,3.76,7.38,3.2,0.74,4.64,5.52,1.71,1.78,7.26,1.46,8.08,4.18,4.54,4.8,2.88,3.7,0.64,3.96,2.86,2.51,3.26,2.5,8.68,2.4,2.13,6.38,7.16,2.55,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
