WELLINGBOROUGH-BUSHFIELD-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP876694,Long,-0.716345,Lat,52.315727,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.9,2.03,1.77,1.68,2.13,4,2.23,2.22,3.24,1.07,2.13,1.01,2.76,1.94,3.41,1.23,2.48,1.16,1.33,1.12,1.33,0.93,3.7,3.46,2.79,4.95,3.1,3.52,2.9,3.82,1.63,2.01,1.71,1.6,3.77,0.69,0.77,2.38,1.52,0.93,0.96,2.09,3.42,1.34,2.63,3.64,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.17,2.27,3.61,0.87,1.17,2.63,0.79,0.25,2.02,3.67,0.5,2.06,3.09,2.69,1.56,0.72,0.8,2.47,0.2,2.23,0.37,2.29,1.9,3.41,0.8,0.93,2.36,1.93,1,1.01,1.33,1.54,2.19,1.76,0.96,1.01,3.66,2.09,0.62,1.36,1.86,1.78,0.42,1.9,3.69,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.92,1.03,3.97,1.25,0.71,3.85,1.82,0.78,1.64,1.77,0.68,0.62,0.52,1.83,1.36,0.08,1.32,0.06,1.48,2.44,1.33,0.49,1.36,2.99,0.19,1.59,2.13,3.3,1.66,0.87,0.14,0.63,1.23,5.6,0.77,1.44,0.87,3.25,2.87,0.86,2.28,1.98,0.79,1.97,1.74,2.63,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.67,0.55,0.97,1.32,2.84,1.85,4.43,0.84,3.2,1.76,3.35,1.66,2.59,1.32,1.08,1.5,1.9,2.87,2.67,0.66,1.19,3.46,1.94,2.73,0.05,1.89,2.35,1.24,1.05,0.9,1.82,1.01,1.28,2.16,1.53,1.7,1.91,2.68,1.75,1.98,0.19,0.7,1.04,0.26,0.86,2.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.99,2.11,2.04,2.7,2.12,1.21,1.25,1.13,1.25,1.09,3.84,3.26,2.45,0.86,0.93,1.06,2.55,2.45,3.99,0.93,0.65,0.89,1.23,4.18,1.88,0.83,1.44,2.46,2.75,1.71,0.85,1.86,2.51,1.08,3.05,2.63,3.3,3.23,4.28,1.43,4.39,3.57,0.4,1.39,2.07,0.37,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.52,0.7,1.84,2.15,0.41,0.82,2.07,0.56,1.34,0.49,1.58,0.02,1.81,3.13,2.13,0.81,0.74,1.34,0.43,1.92,0.75,2.8,4.2,1.26,1.52,1.65,0.61,2.86,0.3,1.77,2.68,1.87,2.7,1.53,2.7,0.37,1.95,1.19,0.96,2.25,2.83,2.18,2.77,1.83,5.74,0.39,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.99,4.03,1.77,1.67,2.85,2.02,2.91,0.16,3.4,3.31,2.78,1.85,1.33,1.83,2.68,1.99,2.46,2.22,2.46,2.44,1.35,0.77,7,1.68,1.32,2.53,3.8,2.57,2.12,0.69,1.69,1.69,1.55,2.31,1.23,1.13,3.43,0.71,0.32,2.77,2.44,0.15,3.93,2.8,2.14,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.67,2.13,4.08,6.99,0.84,2.24,0.94,2.18,5.1,1.79,1.56,1.38,1.38,4.69,1.62,0.79,2.21,3.96,2.25,0.84,1.46,1.74,0.36,2.3,4.07,4.39,0.13,4.81,2.5,2.01,2.44,2.4,3.44,0.01,2.51,0.81,1.66,3.88,3.43,2.71,4.67,0.64,4.54,2.6,2.33,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.71,1.39,0.48,1.83,5.09,1.58,1.8,1.05,1.95,2.24,2.58,3.2,1.84,4.39,1.17,0.48,4.02,2.52,2.63,1.5,2.6,3.7,2.32,1.48,2.37,0.99,0.77,0.49,1.25,1.72,2.48,2.33,3.16,1.35,2.5,1.22,3.93,1.52,2.4,1.27,1.87,1.57,1.86,4.61,2.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.17,1.29,2.38,2.96,1.54,1.46,1.47,1.44,0.78,2.96,4.11,3.59,2.19,1.59,3.59,2.91,1.03,0.32,2.56,1.45,1.04,2.86,1.67,2.81,2.77,4.38,2.45,2.29,2.42,1.9,3.07,3.51,1.17,0.15,3.33,4.54,0.59,0.75,2.72,1.56,1.91,1.79,1.63,1.5,2,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
