"WELLINGBOROUGH (BUSHFIELD WW)",,,,,,,,,,,,
Grid ref,SP876694,Long,-0.716345,Lat,52.315727,,,,,,,
Station no,1120,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.52,0.93,0.96,2.09,3.42,1.34,2.63,3.64,3.35,,
February,2.09,0.62,1.36,1.86,1.78,0.42,1.90,3.69,0.09,,,
March,3.25,2.87,0.86,2.28,1.98,0.79,1.97,1.74,2.63,2.05,,
April,2.68,1.75,1.98,0.19,0.70,1.04,0.26,0.86,2.02,0.40,,
May,3.23,4.28,1.43,4.39,3.57,0.40,1.39,2.07,0.37,1.20,,
June,1.19,0.96,2.25,2.83,2.18,2.77,1.83,5.74,0.39,2.20,,
July,0.71,0.32,2.77,2.44,0.15,3.93,2.80,2.14,2.85,,,
August,3.88,3.43,2.71,4.67,0.64,4.54,2.60,2.33,0.75,,,
September,1.52,2.40,1.27,1.87,1.57,1.86,4.61,2.15,0.00,,,
October,0.75,2.72,1.56,1.91,1.79,1.63,1.50,2.00,1.65,,,
November,4.87,3.30,1.58,4.89,1.24,0.66,1.47,1.71,1.82,,,
December,1.81,2.15,0.85,2.20,2.13,2.77,2.23,2.49,4.05,,,
Total,28.36,26.32,19.55,30.49,19.82,24.23,23.90,29.55,20.26,,,
Calc annual,28.36,26.32,19.55,30.49,19.82,24.23,23.90,29.55,20.26,9.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
