"BLAGDEN CWR, MAKERSTOUN",,,,,,,,,,
Grid ref,NT840221,Long,-2.2547818,Lat,55.492429,Elevation,1643,ft,,
Station no,RR4477,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,0.6,1.7,,,,,
February,,,,0,,,,,,
March,,,,1.1,,,,,,
April,,,0,1.3,,,,,,
May,,,0.6,2.6,,,,,,
June,,,0.8,1.5,,,,,,
July,,,0.9,3.1,,,,,,
August,,,1.7,1.4,,,,,,
September,,,3.4,1.1,,,,,,
October,,,1.1,3,,,,,,
November,,,1.7,2,,,,,,
December,,,,0.5,,,,,,
Total,,,,18.2,,,,,,
,,,,,,,,,,
"Elevation on record 1783ft is too high, trig point on top of Blackdean Curr is 1643 ft",,,,,,,,,,
