ASHOPTON-WIN-HILL-OBS-SANDEMAN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK188854,Long,-1.7189467,Lat,53.365139,Elevation,1240,ft.,,,,,,,,,,,,
Station no,RR2105,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.66,2.1,3.54,2.26,3.47,1.63,4.09,4.17,3.32,,,,,
February,,,,,,,3.11,2.76,3.4,3.28,4.3,4.81,1.7,1.71,2.54,,,,,
March,,,,,,,2.36,4.14,3.53,3.52,1.14,1.74,4.26,4.73,5.16,,,,,
April,,,,,,,1.41,3.41,2.36,2.08,4,2.54,1.47,3.66,2.07,,,,,
May,,,,,,,2.32,3.87,3.24,2.34,2.53,0.75,3.24,2.37,2.21,,,,,
June,,,,,,,1.36,5.98,2.86,3.65,2.78,2.75,4.48,2.17,3.01,,,,,
July,,,,,,,2.77,2.15,3.98,4.94,3.98,0.3,5.33,1.03,3.46,,,,,
August,,,,,,,3.66,3.73,3.84,1.68,5.26,2.04,6.21,1.4,1.92,,,,,
September,,,,,,,1.21,0.58,2.42,2.56,0.3,2.77,1.7,1.97,2.89,,,,,
October,,,,,,,5.55,5.88,1.35,5.02,2.96,3.14,3.76,4.03,2.87,,,,,
November,,,,,,,4.85,3.41,4.11,1.63,5.28,4.19,2.49,4.52,6.52,,,,,
December,,,,,,,3.36,3.14,2.29,7.83,7.13,7.43,5.81,3.03,7.95,,,,,
Total,42.34,40.03,30.3,41.46,28.77,34.23,36.62,41.15,36.92,40.79,43.13,34.09,44.54,34.79,43.92,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Win Hill at the stated altitude and on the side that appears more accessible. NGR could be +/- 1km.,,,,,,,,,,,,,,,,,,,,
