DUNGANNON PARK (ALSHA),,,,,,,,,,,,
Grid ref,IH802806,Long,-6.757630,Lat,54.667281,,,,,,,
Station no,6249/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,4.92,1.50,2.80,3.55,2.98,5.32,4.22,2.09,3.78,,
February,3.01,1.02,1.21,5.04,3.14,1.64,2.39,4.09,1.17,2.64,,
March,2.80,2.05,0.57,3.48,1.15,2.52,3.70,2.15,2.80,2.98,,
April,1.80,1.49,1.41,0.75,3.16,1.35,1.75,1.55,3.59,1.99,,
May,2.13,1.18,1.81,4.67,3.54,1.39,2.65,2.47,1.17,2.84,,
June,3.05,2.97,2.44,2.94,5.71,2.76,2.10,6.56,2.95,2.69,,
July,4.23,1.46,5.41,4.36,1.87,5.11,4.25,5.65,3.14,4.16,,
August,5.76,5.25,4.20,2.67,0.96,7.71,4.56,4.23,0.97,5.12,,
September,3.16,1.06,3.76,5.23,4.48,3.90,4.50,3.28,1.49,3.08,,
October,1.19,5.82,2.37,7.48,2.92,2.96,4.31,3.24,4.50,3.97,,
November,5.58,2.79,3.73,5.69,2.20,2.88,1.44,2.12,4.68,4.01,,
December,4.98,3.89,4.20,5.17,4.93,5.31,5.28,5.20,5.20,4.15,,
Total,40.78,33.90,32.61,50.28,37.61,40.51,42.25,44.76,33.75,41.41,,
Calc annual,40.78,33.90,32.61,50.28,37.61,40.51,42.25,44.76,33.75,41.41,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
