"NORTH CALLANGE, CERES",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 42083 12236,Long,-2.937448,Lat,56.299,Elevation,270,ft,,,,,,,,,,,,
Station no,RR8264,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.41,4.48,2.26,1.9,1.51,,,,,,,,,
February,,,,,,,4.95,2.64,1.13,3.33,2.63,,,,,,,,,
March,,,,,,,2.22,4.75,0.39,1.17,2.07,,,,,,,,,
April,,,,,,,4.01,3.41,1.78,2.35,2.37,,,,,,,,,
May,,,,,,,0.36,2.01,3.39,1.82,0.9,,,,,,,,,
June,,,,,,,3.08,2.34,2.87,3.86,2,,,,,,,,,
July,,,,,,1.95,1.58,5.04,0.52,6.26,3.73,,,,,,,,,
August,,,,,,1.18,3,8.02,5.07,3.95,0.37,,,,,,,,,
September,,,,,,3.41,4.55,1.61,3.27,2.68,3.56,,,,,,,,,
October,,,,,,5.76,4.05,3.74,3.33,0.45,,,,,,,,,,
November,,,,,,5.7,5.78,3.16,2.75,1.93,,,,,,,,,,
December,,,,,,2.57,7.86,3.37,2.36,1.11,,,,,,,,,,
Total,,,,,,,42.85,44.57,29.12,30.81,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1875 Ja to Jun Estd Deleted,,,,,,,,,,,,,,,,,,,,
1880 Oct Nov Estd Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8264,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
