WESTMINSTER-KENSINGTON-GDNS-IMPERIAL-COLLEGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ258801,Long,-0.18879883,Lat,51.505839,Elevation,78,ft.,,,,,,,,,,,,,
Station no,36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.42,1.25,2.74,1.76,2.6,1.69,3.52,0.77,2.65,1.16,1.51,1.2,1.38,,,,,,
February,,,1.93,2.64,0.4,2.87,3.32,3.19,1.46,0.47,0.64,1.6,0.22,1.84,0.23,,,,,,
March,,,1.61,2.32,0.6,0.69,0.18,2.45,1.34,0.1,1.51,0.25,1.43,2.12,1.9,,,,,,
April,,,2.85,1.49,3.19,1.72,2.86,1.63,1.19,1.21,1.38,3.65,2.24,0.73,1.73,,,,,,
May,,,1.06,2.25,3.03,1.7,2.37,1.25,2.1,1.23,2.53,2.49,4.12,1.57,0.46,,,,,,
June,,,1.3,0.52,2.25,0.09,3.32,2.46,3.08,0.91,3.04,1.63,0.65,1.75,0.98,,,,,,
July,,,3.04,2.61,3.57,3.54,1.77,3.02,2.15,1.46,1.48,2.63,2.65,1.65,2.35,,,,,,
August,,,1.9,1.5,2.48,2.37,1.78,3.83,2.71,2.36,2.17,4.13,1.65,0.56,1.78,,,,,,
September,,,1.63,1.22,2.32,2.1,1.12,4.44,0.81,0.18,3.2,2.96,2.09,2.91,1.27,,,,,,
October,,,0.84,5.02,3.77,3.4,2.03,1.21,3.24,2.75,0.98,0.59,5.1,1.48,0.85,,,,,,
November,,,1.5,1.34,2.48,1.65,4.63,2.53,1.88,5.17,3.37,2,1.18,0.91,1.57,,,,,,
December,,,2.67,1.86,3.04,2.6,0.26,2.86,2.38,4.21,1.8,0.61,0.46,0.38,4.34,,,,,,
Total,,,22.75,24.02,29.87,24.49,26.24,30.56,25.86,20.82,24.75,23.7,23.3,17.1,18.84,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"NGR is the same as the other, earlier, records at this location but the gauge position may have been closer to Imperial College, whose staff were observers. Could be +/- 500m",,,,,,,,,,,,,,,,,,,,,
"Thie record overlaps Kensington Palace records by 12 years, There are  6 random duplicate readings, probably coincidence",,,,,,,,,,,,,,,,,,,,,
