"CALDECOTT EYEBROOK RESERVOIR",,,,,,,,,,,,
Grid ref,SP855943,Long,-0.740783,Lat,52.539856,,,,,,,
Station no,2494/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.53,0.78,1.17,2.00,3.46,0.78,2.27,3.31,4.09,,
February,3.63,0.44,1.65,2.42,1.93,0.69,2.39,3.31,0.05,1.62,,
March,3.26,2.22,1.02,2.11,2.29,0.83,2.18,1.60,1.85,1.96,,
April,2.42,1.68,1.68,0.29,0.72,0.61,0.27,0.54,1.98,0.49,,
May,2.83,2.50,1.64,2.93,3.48,0.56,1.25,1.94,0.46,1.17,,
June,1.00,1.13,3.16,2.53,2.55,2.13,1.93,4.51,0.63,2.96,,
July,0.78,0.29,2.12,1.84,0.22,3.03,2.40,2.36,2.15,3.10,,
August,3.78,2.88,2.73,4.02,0.88,4.04,2.67,2.87,0.76,3.21,,
September,1.64,2.73,1.26,1.84,1.23,1.49,4.59,1.38,0.03,3.82,,
October,0.86,2.54,1.86,2.44,1.87,1.06,1.04,2.12,1.39,5.23,,
November,4.48,2.57,1.48,4.81,0.94,0.63,1.58,1.43,2.21,2.78,,
December,1.94,2.10,0.63,3.41,1.74,3.03,2.13,2.26,3.95,2.94,,
Total,28.73,22.61,20.01,29.81,19.85,21.56,23.21,26.59,18.77,33.37,,
Calc annual,28.73,22.61,20.01,29.81,19.85,21.56,23.21,26.59,18.77,33.37,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
