LEEK (ALDER LEE),,,,,,,,,,,,
Grid ref,SJ989606,Long,-2.017899,Lat,53.142546,,,,,,,
Station no,2373/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.50,3.65,3.40,6.10,,
February,,,,,,,2.60,6.85,0.95,2.35,,
March,,,,,,,4.10,1.85,2.10,1.60,,
April,,,,,,,0.60,1.55,3.35,1.80,,
May,,,,,,,1.70,3.70,1.25,2.20,,
June,,,,,,,2.40,6.10,2.10,2.30,,
July,,,,,,5.20,5.85,5.05,2.25,5.35,,
August,,,,,,,5.50,3.50,0.50,5.20,,
September,,,,,,2.90,7.65,5.55,0.25,4.70,,
October,,,,,,3.05,3.55,4.10,3.15,5.35,,
November,,,,,,2.00,2.30,1.85,4.70,5.50,,
December,,,,,,4.50,3.75,4.00,5.85,4.50,,
Total,,,,,,,42.50,47.75,29.85,46.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.65,42.50,47.75,29.85,46.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
