LEOMINSTER FAIRHOLME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO490588,Long,-2.748045,Lat,52.22503,Elevation,260,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,0.4,1.18,2.07,4.05,3.51,2.6,4.62,2.15,0.68,0.68,3.52,2,2.17,1.95,2.85,5.13,0.61,1.79,0.3,4.26,3.01,1.78,1.06,2.85,2.48,0.69,4,1.6,0.63,0.77,2.3,0.79,4.02,3.66,0.94,2.45,1.02,1.3,2.42,2.88,3.37,3.19,3.46,1.25,3.73,2.21,3.8,2.83,4.22,1.15,5.16,1.74,3.2,1.92,2.92,,,,,,,,
February,3.07,3.09,2.68,3.67,2.71,3.48,1.11,0.57,0.94,1.37,0.81,0.03,2.23,3.53,2.63,0.11,0.45,2.1,1.5,2.85,4.42,0.93,0.93,1.88,4.42,0.65,1.49,0.9,1.04,0.55,3.43,1.46,1.87,1.43,2.74,4.91,4.59,0.99,1.32,2.46,0.97,0.27,3.32,7.12,0.36,3.71,1.98,2.33,2.07,0.63,0.73,2.14,0.09,3.55,0.26,,,,,,,,
March,1.3,1.45,1.02,1.24,2.98,1.69,3.13,1.12,3.2,2.92,1.44,1.69,0.87,0.34,2.27,1.82,2.3,3.26,0.7,0.71,1,2.77,1.28,3.72,1.44,3.53,1.15,0.79,3.28,2.38,0.65,1.9,4.58,5.02,2.62,0.44,3.86,2.5,1.54,4.82,2.96,1.67,2.8,1.18,1.2,0.59,0.42,2.62,2.71,0.16,2.22,0.41,1.62,2.21,1.67,,,,,,,,
April,1.15,0.7,3.1,1.25,1.48,2.74,2.32,0.93,1.44,5.3,1.35,1.51,1.01,0.31,2.16,2.69,0.97,1.56,1.73,2.64,1.24,2.13,1.99,1.98,1,2.27,0.73,1.94,2.77,1.93,2.31,1.26,0.16,4.39,1.06,0.91,0.66,1.75,2.36,1.66,4.58,0.93,2.02,2.39,2.83,1.77,2.49,1.51,1.49,0.63,2.67,3.13,3.73,1.09,2.6,,,,,,,,
May,2.69,1.97,3.27,1.7,0.57,3.02,7.51,2.02,0.99,5.2,2.16,4.04,2.19,3.02,4.66,0.72,0.41,1.03,3.31,1.83,2.47,0.64,2.11,3.73,2.58,0.42,1.79,3.05,1.73,1.02,1.85,1.85,1.88,2.23,1.53,3.32,3.33,3.23,2.88,0.38,2.65,1.07,1.08,1.36,5.24,4.18,2.15,1.33,0.75,2.1,1.85,4.24,5.52,1.37,1.7,,,,,,,,
June,4.39,2.46,3.57,3.53,3.75,2.72,1.48,1.14,3.3,0.51,1.43,1.72,3.79,1.47,1.84,2.36,2.24,2.7,1.16,2.21,1.95,2.34,3.33,3.36,0.79,2.96,2.36,2.79,1.26,3.29,3.15,1.9,4.32,0.77,1.93,1.31,1.17,3.18,0.76,0.89,2.3,0.35,0.88,0.34,2.57,0.03,1.2,3.26,3.14,3.2,1.32,3.77,1,1.61,1.06,,,,,,,,
July,5.84,1.33,3.47,3.52,2.32,0.21,2.66,1.35,4.93,4.83,2.42,1.36,2.83,3.21,4.43,2.19,1.16,2.15,0.93,1.47,1.5,2.35,1.39,2.59,1.93,1.41,0.54,2.6,2.04,3.07,1.74,0.45,3.31,0.69,3.83,5.62,1.43,2.89,3.27,2.04,4.33,0.49,3.27,3.39,3.88,2.58,1.97,2.32,1.25,1.85,2.89,2.44,3.77,1.51,2.09,,,,,,,,
August,0.38,3.76,2.13,1.12,2.35,3.33,1.44,1.94,3.27,2.56,3.61,4.19,3.94,1.69,2.21,2.24,1.7,3.39,1.54,0.76,3.21,1.46,3.33,4.5,2.47,4.17,1.72,2.15,3.57,1.91,5.42,1.19,7.48,1.96,2.9,2.88,2.48,6.62,2,2.55,1.04,3.68,3.03,2.11,2.37,3.37,2.18,4.95,2.91,1.35,3.13,4.46,1.86,0.67,2.71,,,,,,,,
September,3.16,2.11,2.62,5.44,1.93,4.21,2.59,1.48,0.62,1.44,0.91,1.88,2.18,1.33,2.14,1.3,4.37,2.28,1.16,2.34,0.63,1.67,1.27,2.99,2.12,0.97,0.7,0.38,2.07,2.8,0.93,1.7,0.69,2.94,1.15,0.85,0.83,1.65,6.97,1.72,2.59,0.71,2.25,1.67,4.05,3.29,1.06,3.79,1.3,1.49,3.45,1.67,2.58,1.36,1.72,,,,,,,,
October,5.25,2.07,5.64,3.13,1.61,3.46,4.07,1.86,0.92,3.13,1.46,7.71,1.74,2.24,4.06,2.4,2.92,1.24,3.96,2.76,3.37,1.33,2.56,6.09,0.59,1.73,4.65,8.52,1.96,3.76,3.47,1.83,2.83,4.2,2.7,3.77,4.54,3.11,1.29,1.44,2.65,1.89,0.57,4.21,3.63,3.11,2.71,2.29,4.98,4.28,2.54,0.7,4.46,6.29,1.37,,,,,,,,
