CORBRIDGE ON TYNE LAUDER GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY991629,Long,-2.0155865,Lat,54.960733,Elevation,275,ft,,,,,,,,,,,,
Station no,RR4806,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.8,0.54,3.85,3.32,0.83,0.51,0.6,1.24,2.74,,,,,,
February,,,,,,1.35,1.89,1.61,0.84,2.08,1.77,3,1.2,1.98,,,,,,
March,,,,,,0.55,2.01,3.58,0.8,1.39,1.02,2.63,2.29,1.43,,,,,,
April,,,,,,0.68,2.41,3.92,2.42,2.3,2.13,1.19,2.9,1.63,,,,,,
May,,,,,,1.12,1.72,2.61,3.08,1.77,2.51,1.48,0.63,1.31,,,,,,
June,,,,,,1.7,4.53,1.48,2.79,4.09,1.93,2.28,3.6,1.45,,,,,,
July,,,,,,4.5,1.59,3.06,0.72,3.17,4.58,3.16,2.56,3.4,,,,,,
August,,,,,,3.48,2.43,7.88,6.31,3.68,1.03,4.78,2.47,2.38,,,,,,
September,,,,,,2.77,3.3,1.27,1.48,0.82,4.19,4.64,1.75,4.65,,,,,,
October,,,,,,4.33,1.46,2.72,1.36,0.76,4.08,4.25,3.36,1.87,,,,,,
November,,,,,,5.13,2.96,1.66,3.18,1.71,2.9,2.01,3.31,2.06,,,,,,
December,,,,,,2.23,7.02,1.38,2.26,1.18,3.63,2.15,3.74,1.74,,,,,,
Total,,,,,16.26,29.64,31.86,35.02,28.56,23.78,30.28,32.17,29.05,26.64,,,,,,
