FORMBY (HIGHTOWN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD294044,Long,-3.066581,Lat,53.531492,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2808/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.99,2.93,0.95,1.29,2.08,3.69,2.64,2.11,2.1,2.24,3.14,1.15,3.6,1.23,2.33,2.53,3.97,1.12,5.78,2.48,1.57,3.63,1.4,1.64,2.48,3.28,3.34,3.41,3.22,2.01,2.8,1.69,2.51,3.54,5.3,1.52,4.42,2.87,3.03,1.84,2,1.56,4.33,2.24,3.09,4.91,2.82,1.59,4.11,3.66,4,2.18,4.29,2.53,6.22,2.65,1.28,2.88,3.28,1.25,2.83,2.67,3.82,2.03,2.73,3.11,4.83
February,,,,,3.41,0.2,0.89,2.11,2.15,1.16,3.46,1.32,2,2.13,3.81,1.23,2.73,1.59,3.25,1.21,3.27,2.27,1.59,0.94,1.65,2.7,2.81,1.21,2.75,1.12,2.65,0.65,3.49,3.5,0.52,4.6,2.65,1.29,2.95,0.81,0.52,2.72,0.05,2.33,0.14,2.76,2.24,4.79,0.98,2.28,2.43,3.45,1.37,1.7,1.42,3.21,4.69,0.88,1.82,1.32,4.36,2.46,0.84,1.11,3.5,2.26,0.33,2.22,4.59,0.24,2.18
March,,,,,1.82,2.17,4.09,2.57,0.84,1.21,2.33,2.27,2.02,2.86,1.54,3.06,2.35,2.1,3.41,2.67,1.13,1.8,4.25,3.29,2.99,1.45,1.69,2.27,0.73,4.91,4.21,2.27,1.18,1.4,1.12,0.78,0.6,2.75,1.72,1.18,2.9,0.59,1.92,1.87,1.35,0.91,1.8,1.75,1.2,1.71,2.03,2.92,2.73,0.59,0.77,0.99,0.85,4.49,1.15,2.23,1.29,4.5,1.68,0.98,2.38,1.62,1.3,2.11,1.46,1.5,1.65
April,,,,,0.97,1.48,0.85,2.57,1.71,2.45,1.64,0.86,1.39,1.79,1.44,2.06,0.87,1.01,2.55,3.78,2.38,2.37,0.62,3.18,0.62,1.66,1.92,2.81,1.36,1.53,4.08,1.27,1.51,2.16,1.79,1.91,1.14,1.65,0.79,0.86,3.09,2.25,2.73,1.32,1.64,2.02,0.93,2.93,0.21,2.3,1.84,1.56,1.57,1.51,2.54,1.94,1.07,2.91,1.35,2.57,2.61,1.41,1.93,2.08,1.1,1.62,2.16,0.32,0.9,2.36,1.33
May,,,,,2.4,1.07,0.3,1.22,3.27,1.93,1.6,1.2,2.59,3.07,1.22,0.59,2.94,1.99,2.72,1.36,3.25,0.82,1.61,2.45,1.77,1.2,2.25,2.69,3.36,1.4,3.22,2.05,1.12,3.24,3.64,4.07,3.1,0.72,1.38,1.7,0.98,2.46,4.11,1.94,2.27,1.39,0.64,2.22,3.11,1.45,2.54,1.73,3.39,3.12,1.75,3.87,1.92,4.25,1.9,2.52,0.8,2.9,2.08,1.96,2.55,2.62,1.11,1.59,3.37,1.93,2.29
June,,,,,2.03,0.41,2.05,4.14,2.86,1.17,2.74,1.6,1.88,1.89,1.7,1.76,1.45,5.77,1.87,4.09,4.16,3.5,3.54,2.67,1.72,1.2,1.71,1.61,1.56,1.26,3.28,0.41,1.75,0.54,4.34,0.12,1.45,3.18,4.22,1.35,1.75,5.25,0.44,1.48,1.92,2.77,3.51,1.8,3.68,3.55,0.63,0.38,0.25,2.26,1.93,2.56,3.5,2.5,3.8,0.69,1.32,0.81,1.76,1.58,3.23,3.22,1.31,1.22,3.22,3.24,0.94
July,,,,,1.36,2.74,4.03,1.09,0.33,1.95,0.82,1.58,2.53,1.77,0.75,2.33,1.26,2.74,3.2,5.1,4.21,0.86,2.18,2.42,4.68,2.83,1.17,1.31,4.02,1.85,5.56,1.01,4.27,2.59,4.55,3.04,3.54,2.85,1.43,2.31,4.03,3.07,4.64,1.52,1.2,1.74,3.17,1.7,2.96,5.91,4.22,1.75,2.92,4.55,2.65,3.73,4.29,3.54,2.16,1.79,2.62,1.66,1.23,2.22,3.48,0.85,4.2,3.63,3.83,3.42,4.16
August,,,,,3.27,2.54,2.49,5.34,4.17,1.32,5.97,2.96,1.75,4.31,2.96,2.57,2.88,3.42,2.92,4.61,4.69,3.71,7.28,3.34,2.01,4.04,1.62,5.76,2.33,3.28,2.09,4.32,3.33,3.33,5.12,2.54,2.86,4.55,3.73,4.37,5.96,5.01,1.53,1.79,2.78,3.14,1.51,1.46,4.28,1.44,0.97,3.1,5.25,4.52,2.67,1.58,4.7,0.23,3.69,2.06,5.9,5.12,2.08,3.73,3.78,1.21,11.71,4.1,3.49,0.61,3.65
September,,,,,0.57,1.11,3.98,3.27,1.71,3.57,1.14,0.96,0.94,4.42,1.67,1.68,1.56,0.75,4.25,3.01,0.64,6.07,1.82,2.63,3.47,1.28,2.98,2.36,7.64,2.16,2.56,1.63,3.16,3.1,3.96,4.69,4.19,4.19,1.14,1.67,3.18,3.08,3.81,1.09,2.06,5.86,3.5,2.07,2.22,0.91,2.84,0.84,2.34,3.58,5.8,2.15,3.83,2.81,2.64,0.77,5.47,2.4,4.15,3.69,3.97,2.27,2.99,5.04,3.74,0.45,2.75
October,,,,,3.63,5.11,4.68,1.13,2.65,2.03,4.29,3.66,3.02,6.49,2.32,2.13,5.18,4.08,2.09,4.3,3.16,2.82,4.24,2.31,1.66,1.38,5.42,6.13,2.68,2.89,1.84,2.9,0.47,3.61,4.61,3.61,3.7,2.67,3.5,4.96,4.33,2.3,6.88,3.23,4.12,5.05,2.2,2.32,6.44,2.27,3.94,4.25,2.51,4.05,3.77,4.02,0.71,0.75,2.65,4.2,2.53,0.9,3.33,1.4,5.99,2.23,2.13,3.34,2.98,3,3
