"FORMBY (HIGHTOWN)",,,,,,,,,,,,
Grid ref,SD294044,Long,-3.066581,Lat,53.531492,,,,,,,
Station no,331763,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,3.28,1.25,2.83,2.67,3.82,2.03,2.73,3.11,4.83,,
February,2.46,0.84,1.11,3.50,2.26,0.33,2.22,4.59,0.24,2.18,,
March,4.50,1.68,0.98,2.38,1.62,1.30,2.11,1.46,1.50,1.65,,
April,1.41,1.93,2.08,1.10,1.62,2.16,0.32,0.90,2.36,1.33,,
May,2.90,2.08,1.96,2.55,2.62,1.11,1.59,3.37,1.93,2.29,,
June,0.81,1.76,1.58,3.23,3.22,1.31,1.22,3.22,3.24,0.94,,
July,1.66,1.23,2.22,3.48,0.85,4.20,3.63,3.83,3.42,4.16,,
August,5.12,2.08,3.73,3.78,1.21,11.71,4.10,3.49,0.61,3.65,,
September,2.40,4.15,3.69,3.97,2.27,2.99,5.04,3.74,0.45,2.75,,
October,0.90,3.33,1.40,5.99,2.23,2.13,3.34,2.98,3.00,3.00,,
November,7.40,2.44,3.82,6.58,1.34,1.67,1.16,1.71,4.93,5.93,,
December,5.23,3.55,1.57,3.39,3.62,2.48,2.60,3.35,5.38,3.26,,
Total,37.67,28.35,25.39,42.78,25.53,35.21,29.36,35.37,30.17,35.97,,
Calc annual,37.67,28.35,25.39,42.78,25.53,35.21,29.36,35.37,30.17,35.97,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
