PLESHEY-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL664147,Long,0.41215358,Lat,51.806177,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.8,2.89,1.11,2.58,1.53,2.07,1.45,3.18,1.42,1.94,1.89,1.28,1.42,1.38,1.7,3.35,3.57,2.55,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.36,1.72,2.62,0.69,2.19,2.56,3.3,1.15,0.57,0.53,1.79,0.27,1.08,0.36,1.96,1.55,3.35,0.6,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.05,1.55,1.56,0.78,0.95,0.07,1.98,1.92,0.07,1.26,0.14,1.04,1.68,2.03,0.47,0.85,2.93,0.34,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.44,2.1,1.46,2.51,1.39,3.53,1.66,0.89,1.35,1.9,2.62,1.67,1.14,2.63,2.22,1.35,2.94,0.28,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.91,0.79,1.39,4.76,2.21,1.03,0.75,1.87,1.92,2.08,2.2,3.43,1.32,0.58,1.08,1.02,2.72,1.78,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.12,0.15,1.25,1.13,1.68,0.47,2.77,3.14,3.12,0.61,0.88,1.23,0.56,1.84,0.96,4.13,3.96,2.89,0.44,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.83,0.29,2.73,1.41,4.59,4.56,2.19,2.71,1.47,1.46,2.8,4.05,2.17,1.33,1.8,0.46,4.56,2.37,1.51,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2,1.21,2.2,1.29,1.89,2.54,1.16,3.33,2.25,1.74,2.71,3.54,1.1,0.34,1.72,1.46,0.72,0.93,0.89,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.99,2.15,2.88,1.81,3.08,2.29,1.03,4.16,0.71,0.67,3.37,1.81,1.78,1.55,1,2.88,1.67,1.2,3.51,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.87,1.48,0.94,4.41,3.56,3.22,2.02,1.59,2.92,2.66,0.94,0.56,5.15,1.58,1.05,2.6,1.49,1.58,2.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
