"BO'NESS, GRANGE HOUSE",,,,,,,,,,,,
Grid ref,NT009813,Long,-3.591158,Lat,56.014343,,,,,,,
Station no,RR1100,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.19,2.35,1.04,3.48,1.28,3.62,3.49,,
February,,,,5.84,2.48,1.17,1.56,1.96,1.01,0.96,,
March,,,,6.26,1.19,3.05,2.46,2.36,3.46,2.70,,
April,,,,0.85,2.95,1.19,0.70,1.06,1.36,2.91,,
May,,,,1.57,2.25,1.28,4.04,2.98,2.28,2.09,,
June,,,,1.67,1.49,0.40,1.48,3.65,1.51,1.60,,
July,,,,3.94,1.80,2.11,1.59,2.56,3.10,2.44,,
August,,,,3.21,4.33,2.02,5.30,3.92,2.31,1.96,,
September,,,,2.05,1.84,1.65,0.91,1.06,3.87,1.65,,
October,,,,5.50,0.84,1.96,5.09,6.40,1.34,4.21,,
November,,,,1.46,0.88,3.70,3.26,1.29,2.34,1.25,,
December,,,,1.36,3.24,2.36,1.57,3.72,1.29,3.47,,
Total,,,,38.90,25.64,21.93,31.44,32.24,27.49,28.73,,
Calc annual,0.00,0.00,0.00,38.90,25.64,21.93,31.44,32.24,27.49,28.73,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
