"GLEN QUOICH (ALLTBEITHE)",,,,,,,,,,,,
Grid ref,NH021072,Long,-5.269905,Lat,57.113027,,,,,,,
Station no,5710/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,13.28,11.60,6.10,11.10,17.80,14.60,4.00,6.60,,
February,,,8.72,5.25,5.10,8.56,7.15,6.10,7.30,8.90,,
March,,,3.60,5.50,2.40,3.40,7.75,3.10,6.60,1.90,,
April,,,10.12,4.30,6.10,5.10,4.50,7.40,6.59,9.50,,
May,,,6.25,4.65,6.20,9.20,2.80,11.10,2.10,3.60,,
June,,,2.20,7.86,5.20,5.10,6.10,2.90,8.10,5.10,,
July,,,9.50,5.90,2.50,8.70,7.90,3.20,11.90,5.30,,
August,,,10.75,5.65,2.20,8.50,9.30,6.30,9.10,8.50,,
September,,,10.75,13.90,12.90,8.00,10.40,6.90,5.00,6.20,,
October,,,11.75,18.80,13.50,12.10,15.20,14.80,15.50,1.20,,
November,,,24.75,15.20,6.40,13.20,5.40,3.60,11.50,11.70,,
December,,,10.50,24.60,16.50,19.60,16.90,9.80,14.80,13.90,,
Total,,,122.17,123.21,85.10,112.56,111.20,89.80,102.49,82.40,,
Calc annual,0.00,0.00,122.17,123.21,85.10,112.56,111.20,89.80,102.49,82.40,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
