GLEN QUOICH (ALLTBEITHE),,,,,,,,,,
Grid ref,NH021072,Long,-5.269905,Lat,57.113027,Elevation,760,ft,,
Station no,5710/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,13.28,11.6,6.1,11.1,17.8,14.6,4,6.6
February,,,8.72,5.25,5.1,8.56,7.15,6.1,7.3,8.9
March,,,3.6,5.5,2.4,3.4,7.75,3.1,6.6,1.9
April,,,10.12,4.3,6.1,5.1,4.5,7.4,6.59,9.5
May,,,6.25,4.65,6.2,9.2,2.8,11.1,2.1,3.6
June,,,2.2,7.86,5.2,5.1,6.1,2.9,8.1,5.1
July,,,,5.9,2.5,8.7,7.9,3.2,11.9,5.3
August,,,,5.65,2.2,8.5,9.3,6.3,9.1,8.5
September,,,,13.9,12.9,8,10.4,6.9,5,6.2
October,,,,18.8,13.5,12.1,15.2,14.8,15.5,1.2
November,,,,15.2,6.4,13.2,5.4,3.6,11.5,11.7
December,,,,24.6,16.5,19.6,16.9,9.8,14.8,13.9
Total,,,,123.21,85.1,112.56,111.2,89.8,102.49,82.4
,,,,,,,,,,
1953 Jul-Dec+T deleted est,,,,,,,,,,
1959 NP,,,,,,,,,,
,,,,,,,,,,
Station no,5710/1,,,,,,,,,
Midas,14620,,,,,,,,,
Hyd Stn,798613,,,,,,,,,
