GREAT-SHELFORD-RIVERSDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL4639951656,Long,0.13802986,Lat,52.143799,Elevation,60,ft,,,,,,,,,,,,
Station no,RR7291,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.69,1.4,,,,,,,,,
February,,,,,,,,,,0.31,1.54,,,,,,,,,
March,,,,,,,,,,2.45,0.72,,,,,,,,,
April,,,,,,,,,,1.56,2.01,,,,,,,,,
May,,,,,,,,,,1.41,2.43,,,,,,,,,
June,,,,,,,,,,3.18,1.29,,,,,,,,,
July,,,,,,,,,,2.64,2.43,,,,,,,,,
August,,,,,,,,,,2.55,1.51,,,,,,,,,
September,,,,,,,,,,2.08,1.12,,,,,,,,,
October,,,,,,,,,,3.4,1.83,,,,,,,,,
November,,,,,,,,,,0.72,2.19,,,,,,,,,
December,,,,,,,,,,2.8,3.25,,,,,,,,,
Total,,,,,,,,,,23.79,21.72,,,,,,,,,
