"ASPATRIA BRAYTON HALL",,,,,,,,,,,,
Grid ref,NY166426,Long,-3.297926,Lat,54.771366,,,,,,,
Station no,RR1687,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.99,2.20,1.75,,2.84,2.31,5.40,,4.31,4.31,,
February,4.40,1.14,0.77,,2.95,1.86,2.11,,3.24,1.61,,
March,0.51,2.43,1.45,,3.05,3.55,2.38,,3.52,4.67,,
April,2.79,2.30,1.29,,2.52,3.36,0.68,,2.20,2.75,,
May,2.68,1.41,1.54,,2.52,2.75,4.33,,2.94,1.20,,
June,2.06,2.20,1.40,,2.27,1.92,1.77,,2.51,2.17,,
July,2.81,0.94,2.67,,2.14,2.67,1.56,,4.39,5.62,,
August,7.75,4.57,2.05,,3.70,3.23,6.70,,5.74,2.64,,
September,4.72,1.48,1.79,,1.27,3.29,1.52,,3.75,2.55,,
October,6.43,5.29,2.90,,2.61,2.84,6.59,,1.61,7.02,,
November,4.04,4.21,1.95,,3.79,3.58,3.22,,2.78,1.78,,
December,6.67,3.95,2.74,,3.61,2.57,3.51,,2.92,7.33,,
Total,50.85,32.12,22.30,,33.27,33.93,39.77,,39.91,43.65,,
Calc annual,50.85,32.12,22.30,0.00,33.27,33.93,39.77,0.00,39.91,43.65,,
Difference,0.00,0.00,0.00,NaN,0.00,0.00,0.00,NaN,-0.00,-0.00,,
