"BANBRIDGE, THE OBSERVATORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ127459,Long,-6.2667,Lat,54.35,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.3,0.88,3.28,3.4,1.11,1.7,2.51,1.69,2.41,3.72,3.72,3.75,3.33,2.19,3.56,2.59,4.17,3.29,4.67,1.59,4.63,2.36,2.87,2.22,2.96,1.31,,,,,
February,4.74,2.65,3.35,1.2,3.44,3.9,3.15,2.03,3.21,0.9,1.69,0.67,3.24,4.01,1.04,3.3,2.53,1.68,3.11,2.07,1.29,2.48,0.2,2.73,0.17,3.49,,,,,
March,1.6,1.29,3.29,2.95,3.11,0.56,1.56,2.48,1.45,2.66,3.3,2.61,1.75,1.29,0.81,0.97,1.34,2.93,3.17,0.25,2.11,1.32,1.82,1.76,1.98,1.6,,,,,
April,2.25,2.1,1.63,3.07,1.34,1.85,3.57,1.87,1.09,1.13,2.42,0.85,2.98,2.78,2.47,2.92,2.08,1.54,1.15,0.92,1.65,3,2.47,1.1,2.33,1.99,,,,,
May,1.62,1.83,1.16,4.19,1.51,1.87,6.18,3.74,2.3,1.8,2.46,2.85,1.43,1.71,3.89,4.7,2.49,1.32,0.76,2.01,1.44,3.14,2.61,3.16,2.86,0.91,,,,,
June,3.84,2.45,6.37,3.56,1.39,2.25,1.98,1.19,1.45,2.38,2.74,0.21,2.28,1.42,2.54,0.66,2.11,3.67,3.78,2.58,2.3,4.42,1.47,2.69,1.83,3.62,,,,,
July,3.72,3.5,3.66,1.44,1.77,4.85,2.75,2.8,3.83,0.31,2.63,3.98,4.09,2.8,3.15,4.78,4.33,3.99,2.08,2.66,3.47,3.33,4.79,2.61,2.47,1.18,,,,,
August,4.34,1.07,5.44,0.91,3.15,2.59,2.77,5.51,2.18,2.8,2.17,3.31,3.99,5.75,5.49,1.85,3.94,4,4.57,5.27,6.44,2.96,2,1.41,4.55,2.5,,,,,
September,1.08,1.39,0.72,4.51,0.91,0.85,1.03,1.57,4.09,2.76,2.87,1.12,2.26,3.15,5.48,3.09,2.06,4.7,2.47,0.85,3.38,2.14,2.52,0.87,5.34,3.49,,,,,
October,1.55,3.35,2.14,3.58,1.86,2.95,6.08,3.65,3.43,1.99,6.84,2.51,0.94,2.78,3.11,3.02,2.73,3.27,4.44,3.02,4.44,1.8,2.93,2.45,4.67,3.22,,,,,
November,2.31,3.75,2.54,3.3,3.48,2.37,3.75,3.05,2.37,1.52,2.9,2.87,1.57,2.66,2.47,1.81,3.39,3.2,4.35,3.43,3.06,5.69,1.31,1.07,1.19,3.81,,,,,
December,3.9,5.95,3.17,2.79,7.98,5.11,2.21,1.95,3.23,5.81,3.34,2.54,2.82,2.6,3.56,2.75,1.01,1.82,3.08,5.83,3.24,2.48,4.48,1.66,5.37,2.78,,,,,
Total,33.25,30.21,36.75,34.9,31.05,30.85,37.54,31.53,31.04,27.78,37.08,27.27,30.68,33.14,37.57,32.44,32.18,35.41,37.63,30.48,37.45,35.12,29.47,23.73,35.72,29.9,,,,,
