OUNDLE-ELLICK,,,,,,,,,,
Grid ref,TL039882,Long,-0.47148434,Lat,52.481842,Elevation,124,ft,,
Station no,RR7058,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,1.1,1.63,,,,,,,
February,,2.03,0.44,,,,,,,
March,,1.48,3.71,,,,,,,
April,0.6,0.97,1.26,,,,,,,
May,3.07,1.07,2.21,,,,,,,
June,4.81,1.64,1.83,,,,,,,
July,1.16,5.63,1.26,,,,,,,
August,2.59,0.57,1.83,,,,,,,
September,2.39,1.21,2.57,,,,,,,
October,1.46,0.93,1.94,,,,,,,
November,2.24,2.64,1.85,,,,,,,
December,1.74,1.18,1.9,,,,,,,
Total,,20.45,22.43,,,,,,,
