LUMPHANAN CORSE HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 54739 07439,Long,-2.74981,Lat,57.155576,Elevation,833,ft,,,,,,,,,,,,
Station no,RR8559,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.9,1.45,0.96,3.3,1.84,2.2,3.01,1.4,,,
February,,,,,,,,,,1.57,3.3,2.47,5.1,1.81,1.51,1.16,4.7,,,
March,,,,,,,,,,1.91,1.06,0.52,3,3.58,3,2.5,3.3,,,
April,,,,,,,,,,2.62,1.62,2.63,3.5,1.44,1,1.6,1.29,,,
May,,,,,,,,,,1.95,1.41,0.98,5.4,4.14,2.51,1.4,0.61,,,
June,,,,,,,,,,2.21,1.01,2.69,4,1,0.91,3.2,0.76,,,
July,,,,,,,,,,0.81,2.22,5.04,2.3,5.54,1.14,3.02,1.2,,,
August,,,,,,,,,,1.49,1.8,2.5,3.5,2.2,8.56,2.2,2.4,,,
September,,,,,,,,,,4.45,3,3.32,6.4,4.8,4.11,5.51,4.61,,,
October,,,,,,,,,,5.68,2.52,3.44,4.4,3,3.32,4.31,6.2,,,
November,,,,,,,,,,1.69,3.26,1.95,6.6,4.76,4.21,3.65,5.4,,,
December,,,,,,,,,,1.29,4.93,0.78,4.5,2,3,1.4,13.6,,,
Total,,,,,,,,,,28.57,27.58,27.28,52,36.11,35.47,32.96,45.47,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8559,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
