ABERDEEN GRAMMAR SCHOOL Monthly,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 93166 06205,Long,-2.114579,Lat,57.14668,Elevation,103,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.29,1.9,2.08,3.61,2.58,3.51,1.28,1.7,2.47,2.42,1.04,2.9,0.91,3.15,,
February,,,,,2.21,2.78,1.86,1.62,1.45,1.06,2.29,2.5,3.96,0.77,1.6,1.16,3.19,2.09,,
March,,,,,2.18,1.6,2.3,1.7,1.45,1.28,0.45,0.21,1.63,2.13,1.46,2.13,2.78,1.47,,
April,,,,,0.97,0.58,1.34,3.24,2.2,1.92,0.81,10.15,2.28,0.77,0.88,1.23,2.15,2.88,,
May,,,,,1.66,1.83,1.55,2.63,1.19,1.4,1.21,0.34,2.94,2.46,1.25,1.48,0.41,2.85,,
June,,,,,1.37,0.81,1.45,1.48,0.46,2.15,0.65,0.92,3.16,0.92,0.8,3,0.89,3.57,,
July,,,,,1.88,2.84,3.25,3.4,0.61,0.88,3.4,3.28,1.7,4.1,2.45,3.32,1.5,3.32,,
August,,,,,1.33,3.3,3.15,3.48,7.31,1.13,0.69,2.48,2.71,4.5,5.8,2.08,1.38,6.32,,
September,,,,,2.96,0.58,2.81,2.4,3.59,4.76,1.93,1.92,5.94,3.5,2.3,4.52,2.8,1.67,,
October,,,,,4.31,2.45,2.52,1.87,1.77,5.1,2.73,2.72,4.16,2.6,2.2,2.93,2.48,1.96,,
November,,,,,3.36,3.3,1.51,0.82,1.17,0.95,1.98,1.9,6.2,4.5,3.6,2.94,4.1,4.59,,
December,,,,,3.23,1.95,2.69,1.89,4.8,2.01,3.83,1.26,3.28,1.76,2.2,1.48,6.55,2.28,,
Total,,,,,26.75,23.92,26.51,28.14,28.58,26.15,21.25,29.38,40.43,30.43,,29.17,29.14,36.15,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
