ABERDEEN GRAMMAR SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 93166 06205,Long,-2.114579,Lat,57.14668,Elevation,161,ft,,,,,,,,,,,,
Station no,ZZ999,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.99,1.99,3.13,2.45,3.34,1.36,1.77,2.74,2.5,1.06,3.1,1.05,2.81,1.37,1.54
February,,,,,,3.13,1.65,1.27,1.51,1.11,2.36,3.53,4.15,0.78,1.66,1.08,3.89,2.33,0.71,1.56
March,,,,,1.01,1.66,1.17,1.61,1.42,1.08,0.56,0.43,1.63,2.27,1.63,2.27,3.12,1.59,1.37,1.52
April,,,,,1,0.59,1.2,2.97,2.35,2.05,1.08,5.06,2.37,0.79,0.89,1.43,2.42,2.33,0.94,3.45
May,,,,,1.66,1.72,1.54,2.63,1.16,1.32,1.33,0.54,3.14,2.6,1.27,1.58,0.42,2.71,2.22,2.87
June,,,,,1.4,0.85,1.33,1.21,0.53,2.04,0.83,1.1,3.34,0.99,0.9,3.21,0.85,3.55,1.59,2.54
July,,,,,1.9,2.86,3.26,3.26,0.6,0.94,3.61,3.41,1.9,4.2,2.48,3.53,1.56,3.05,0.45,3.59
August,,,,,1.24,3.46,3.13,3.44,7.41,1.15,0.79,2.47,3.08,4.5,5.96,1.95,1.39,6.22,3.63,3.97
September,,,,,2.9,0.54,2.8,2.2,3.48,4.7,1.95,1.93,5.96,3.6,2.4,5.16,2.9,1.65,3.26,3.1
October,,,,,4,2.52,2.45,1.8,1.76,4.98,2.55,3.27,4.3,2.7,2.28,3.75,2.61,1.76,2.27,0.97
November,,,,,3.5,3.58,1.53,0.9,1.21,1.15,2.21,2.05,6.32,4.7,3.7,3.21,4.52,4.48,3.37,2.22
December,,,,,3.3,1.8,2.49,1.88,4.91,1.79,3.94,1.33,3.3,1.92,2.4,1.47,6.36,2.15,2.93,1.29
Total,,,,,,24.7,24.54,26.3,28.79,25.65,22.57,26.89,42.23,31.55,26.63,31.74,31.09,34.63,24.11,28.62
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
