GLEN MUICK (ALLT NA GUIBHSAICH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO300858,Long,-3.152634,Lat,56.95812,Elevation,1370,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.5,5.09,2.37,6.55,15.35,8.36,5.39,1.53,5.5,5.38,6.42,3.51,5.24,4.46,6.37,6.38,3,2.13,4.6,2.62,1.2,3.43,2.82,4.98,5.17,4.65,4.38,5
February,,,3.2,0.86,3.85,3.59,4.37,2.97,5.28,2.95,6,2.64,3.46,2.76,1.87,2.82,3.31,2.71,3.1,4.04,5.43,1.07,1.52,4.45,6.4,2.65,4.73,4.79,0.5,6.08
March,,,2.4,5.44,2.08,3.4,8.24,1.03,4.63,3,3,2.07,1.91,1.41,0.92,4.14,6.87,1.72,2.19,3.84,2.73,4.8,0.66,3.53,3.98,2.34,3.26,4.26,3.21,2.04
April,,,2.2,7.87,6.79,1.41,2.01,0.84,1.5,2.54,2.89,2.78,2.95,1.99,2.13,1.02,5.32,2.32,3.11,3.71,4.51,2.08,3.98,1.86,0.9,1.83,1.89,2.92,4.05,4.12
May,,,1.2,4.43,1.58,1.37,2.24,4.75,1.82,1.45,4.43,5.07,4.35,3.11,5.4,2.7,4.04,3.91,2.77,1.81,2.5,3.39,3.77,6.66,3.7,1.2,2.17,3.41,1.27,2.06
June,,,2.4,2.78,4.26,1.48,2.02,5.18,3.7,0.61,1,1.83,2.52,3.23,2.98,3.89,4.52,5.71,1.98,1.8,1.96,3.3,6.32,1.78,1.07,3.37,3.15,2.68,2.11,1.45
July,,,4.7,4,0.6,5.34,4.09,5.44,4.69,8.41,2.73,3.58,1.1,1.65,2.68,5.34,3.34,3.81,2.44,3.38,2.98,2.29,4.49,2.62,0.86,5.01,6.14,6.02,3.9,4.08
August,,1,1.1,5.75,2.2,1.2,3.29,2.15,3.25,1.42,5.04,4.3,4.69,1.86,2.56,3.48,0.46,9.61,3.32,4.72,7.56,3.01,2.01,3.03,0.73,5.69,4.78,4.09,1.39,6.12
September,,2.8,3.3,4.72,5.38,3.02,1.4,3.3,3.59,1.88,1.8,3.9,4.48,5.9,3.13,6.73,3.41,2.68,2.21,8.23,2.69,2.42,4.3,3.32,1.75,5.06,2.76,4.27,0.7,3.7
October,,10.5,8.1,5.96,8.05,2.88,4.4,6.41,10.74,6.12,4.16,3.97,6.14,7.45,5.22,0.4,2.05,2.77,4.33,2.19,1.23,7.34,3.29,6.25,3.03,2.94,1.8,2.85,5.27,9.6
November,,2.8,4.9,3.53,7.07,3.67,1.1,7.9,7.8,8.8,8.73,1.36,3.52,6.6,1.4,8.73,4.23,1.47,5.87,4.92,12.58,3.39,4.49,10.93,2.42,2.15,3.29,1.05,8.84,5.61
December,,8.6,1.8,10.5,2.64,5.32,7.67,6.5,2.9,3.7,4.02,7.15,1.86,4.05,10.74,5.35,2.83,8.7,5.24,2.74,4.87,4.3,5.5,7.97,7.92,9.52,6.45,5.29,9.84,3
Total,,,39.8,60.93,46.87,39.23,56.18,54.83,55.29,42.41,49.3,44.03,43.4,43.52,44.27,49.06,46.75,51.79,39.56,43.51,53.64,40.01,41.53,55.83,35.58,46.74,45.59,46.28,45.46,52.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge Aug 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
