GLEN MUICK (ALLT NA GUIBHSAICH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO300858,Long,-3.152634,Lat,56.95812,Elevation,1370,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.2,2.74,2.71,4.4,5.13,4.68,6.19,4.24,2.05,4.55,6.94,5.27,8.24,1.03,4.65,3.76,5.95,,,,,,,,
February,,,,,,,5.6,0.7,5.31,1.82,3.81,0.72,3.58,11.58,2.03,7.71,3.99,1.36,2.67,0.95,1.6,2.02,0.45,,,,,,,,
March,,,,,,,5.3,3.15,1.3,4.14,5.71,4.39,2.59,1.97,1.27,2.78,2.28,4.36,10.06,0.38,2.28,1.91,3.24,,,,,,,,
April,,,,,,,3.5,1.88,1.97,3.95,4.3,1.62,4.21,2.66,2.28,4.6,3.66,3.62,1.78,1.93,3.8,3.64,4.36,,,,,,,,
May,,,,,,,4.4,2.81,3.91,1.83,4.68,4.29,1.66,4.83,5.2,6.17,3.58,3.57,2.48,3.48,2.23,5.29,5.28,,,,,,,,
June,,,,,,,4.2,2.59,1.42,2.52,1.23,1.02,1.62,1.06,2.28,0.62,4.92,4.41,4.29,2.01,2.48,3.76,1.43,,,,,,,,
July,,,,,,,8.6,1.91,5.54,0.81,4.1,2.58,5.52,1.99,5.54,2.78,2.1,3.77,2.05,6,3.11,4.79,4.65,,,,,,,,
August,,,,,,,5.1,6.77,2.84,1.85,4.09,3.06,2.61,6.4,5.28,2.87,1.9,5.31,6.29,3.57,7.58,4.3,,,,,,,,,
September,,,,,,,2.3,1.65,5.8,3.55,2.54,1.33,2.58,3.93,6.37,4.05,3.76,5.29,4.62,1.06,7.05,1.94,,,,,,,,,
October,,,,,,,7.9,5.8,5.2,3.54,7.17,2.25,1.95,5.7,4.53,4.23,5.56,5.75,6.37,5.43,6.51,2.66,,,,,,,,,
November,,,,,,,7.98,4.35,4.45,6.56,4.95,4.07,2.71,3.66,3.01,1.68,9.72,4.92,4.98,5.66,6.09,9.18,,,,,,,,,
December,,,,,,,4.72,2.03,3.9,6.87,6.23,3.14,5.81,3.85,7.96,3.82,1.16,2.95,2.42,10.12,6.63,3.45,,,,,,,,,
Total,,,,,,,61.8,36.38,44.35,41.84,53.94,33.15,41.03,51.87,47.8,45.86,49.57,50.58,56.25,41.62,54.01,46.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge Aug 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
