Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,3.43,1.9,,1.3,0.55,3.2,,,0.75,,,,,,,,,,2.35,,
February,,,,,,,,,4.5,0.88,,,0.65,3,0.6,,,,,,,,,,,,,0.5,,
March,,,,,,,,,0.95,1.15,,,1.35,2.15,0.5,,,1.5,,,,,,,,,,1.05,,
April,,,,,,,,,2.85,1.05,2.05,,4.2,2.05,0.7,,,2,,,,,,,,,,1.1,,
May,,,,,,,,,,0.75,1.25,,2.2,0.65,-999,,,0.7,,,,,,,,,,3.2,,
June,,,,,,,,,,1.5,3.15,,2,,-999,,,1,,,,,,,,,,1.14,,
July,,,,,,,,,,2,4.1,,1.5,,0.95,,,2.5,,,,,,,,,,1.65,,
August,,,,,,,,,,4.7,3.75,,2.75,,1.45,,2.2,3.5,,,,,,,,,,1.05,,
September,,,,,,,,,,2.35,,,1.6,4.3,1.95,,3.5,,,,,,,,,,,1.05,,
October,,,,,,,,,,2.2,0.65,,2.4,1.5,,,3.1,,,,,,,,,,,,,
November,,,,,,,,,,2.15,2.1,,2.2,3,,,5,,,,,,,,,,,,,
December,,,,,,,,,,1.75,2.05,,2.55,,,,2.45,,,,,,,,,,,,,
Total,,,,,,,,,,23.91,,,24.7,,,,,,,,,,,,,,,,,
