"ABERDEEN KING'S COLLEGE",,,,,,,,,,,,
Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.45,1.90,1.59,4.26,2.03,0.62,1.37,1.63,1.16,1.59,,
February,3.82,2.29,1.09,2.39,3.55,1.77,2.08,1.54,1.17,0.63,,
March,2.29,1.83,1.37,1.62,2.49,3.41,2.04,1.32,3.54,4.26,,
April,1.66,2.28,2.59,2.07,1.88,2.94,1.68,1.35,1.88,3.17,,
May,1.00,2.35,4.33,2.23,2.80,1.18,4.87,3.48,1.51,2.10,,
June,1.83,1.28,1.55,1.64,0.91,1.20,0.68,3.78,2.09,1.50,,
July,3.96,2.07,3.71,5.03,1.06,2.27,1.75,1.40,2.17,4.84,,
August,2.81,3.38,2.84,4.18,2.23,3.15,3.43,2.27,2.26,2.30,,
September,2.45,1.53,1.40,2.95,2.15,2.24,1.00,1.23,3.33,1.91,,
October,3.23,3.05,1.69,4.47,0.87,3.47,5.49,5.07,2.60,2.14,,
November,4.44,2.21,2.29,2.94,1.22,5.37,3.72,2.13,1.39,1.93,,
December,3.01,3.86,2.89,2.54,2.53,0.83,3.38,3.48,4.88,4.01,,
Total,33.95,28.03,27.34,36.32,23.72,28.45,31.49,28.68,27.98,30.38,,
Calc annual,33.95,28.03,27.34,36.32,23.72,28.45,31.49,28.68,27.98,30.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
