ABERDEEN OBSERVATORY (11 inch gauge),,,,,,,,,,,,
Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,Elevation,46,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.66,0.92,,,,,,,,,,
February,0.94,0.25,,,,,,,,,,
March,2.96,2.69,,,,,,,,,,
April,1.46,0.53,,,,,,,,,,
May,3.31,2.56,,,,,,,,,,
June,1.71,0.46,,,,,,,,,,
July,2.81,2.64,,,,,,,,,,
August,2.79,4.97,,,,,,,,,,
September,1.76,5.13,,,,,,,,,,
October,3.73,2.64,,,,,,,,,,
November,5.53,3.92,,,,,,,,,,
December,2.84,1.9,,,,,,,,,,
Total,32.5,28.61,,,,,,,,,,
