ABERDEEN OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,
January,,,1.31,3.09,2.86,1.76,2.46,2.81,2.05,1.03,2.75,1,3.52,2.9,2.44,3.93,0.64,2.85,0.97,3.3,3.45,1.9,1.59,4.26,2.03,0.62,1.37,1.63,1.16,1.59,1.81,1.43,2.89,2.84,1.43,3.31,0.96,3.01,2.43,3.43,1.32,1.26,3.78,2.25,2.09,1.4,3.24,1.87,3.8,1.84,1.85,3.06,1.83,1.82,1.72,1.72,4.44,4.96,2.39,3.73,1.5,2.52,4.55,2.95,1.56,5.31,1.11,4.56,,,,,,,,,,,,,,,,,,,,,,
February,,,0.97,4.7,1.96,3.17,2.07,0.96,2.05,2.9,0.85,0.26,1.98,2.44,2.64,1.55,0.87,0.56,1.73,2.21,3.82,2.29,1.09,2.39,3.55,1.77,2.08,1.54,1.17,0.63,2.61,1.07,2.99,0.76,2.27,3.54,2.13,0.98,1.28,1.78,1.03,0.6,1.91,5.11,1.59,3.89,3.49,1.76,0.64,1.72,1.12,2.8,0.31,3.71,0.65,1.73,1.91,2.32,1.03,2.6,1.7,3.83,2,1.03,1.7,1.73,1.42,1.47,,,,,,,,,,,,,,,,,,,,,,
March,,,1.62,4.34,3.29,1.48,2.58,2.25,3.51,2.28,2.94,2.6,1.22,0.68,0.71,3.53,2.13,3.47,2.32,2.71,2.29,1.83,1.37,1.62,2.49,3.41,2.04,1.32,3.54,4.26,1.51,1.74,2.38,3.09,3.08,2.14,2.25,1.87,1.6,1.93,2.73,1.95,2.21,1.75,1.09,1.79,0.99,2.11,3.57,0.22,1.33,1.14,4.15,2,1.09,2.06,1.63,2.7,0.51,1.97,2.35,1.19,1,0.71,1.41,0.61,1.44,4,,,,,,,,,,,,,,,,,,,,,,
April,,,3.2,1.71,1.37,1.91,1.24,1.89,2.32,2.97,1.44,0.49,0.97,0.81,1.02,1.52,1.37,2.33,4.71,3.15,1.66,2.28,2.59,2.07,1.88,2.94,1.68,1.35,1.88,3.17,2.85,1.32,0.39,2.79,0.59,1.14,2.62,1.61,0.43,2.75,2.12,1.51,2.93,1.83,1.68,2.32,2.44,2.35,2.57,1.75,3.09,1.54,2.94,2.06,6.15,4.15,0.7,1.05,0.78,0.84,2.3,2.16,1.37,1.7,2.21,1.32,0.37,1.96,,,,,,,,,,,,,,,,,,,,,,
May,,,1.5,0.93,1.51,3.69,3.99,1.65,1.16,1.32,3.26,2.46,2.4,1.32,3.56,0.74,1.43,2.43,2.96,2.72,1,2.35,4.33,2.23,2.8,1.18,4.87,3.48,1.51,2.1,2.37,2.72,1.99,3.1,2.66,0.87,3.34,1.39,1.85,0.58,4.1,1.3,0.99,4.67,4.85,2.94,1.53,2.58,1.6,2.28,0.99,4.59,2.82,0.97,3.45,1.6,1.18,1.52,2.59,1.13,1.5,1.94,3.06,4.29,2.72,3.99,2.74,2.89,,,,,,,,,,,,,,,,,,,,,,
June,,,3.45,1.28,1.21,1.12,1.05,0.64,2.81,0.65,1.72,0.47,2.39,3.52,1.53,1.88,2.77,3.42,1.45,1.12,1.83,1.28,1.55,1.64,0.91,1.2,0.68,3.78,2.09,1.5,0.68,2.37,1.96,1.36,0.76,1.42,4.65,1.41,1.37,1.32,0.79,1.11,2.52,0.88,1.76,0.93,1.61,2.53,3.28,1.84,2.21,2.98,1.13,0.86,1.2,4.23,0.84,1.26,3.33,1.29,0.58,0.98,1.01,1.96,2.25,2.51,2.53,1.11,,,,,,,,,,,,,,,,,,,,,,
July,,,3.6,4.27,3.22,1.25,2.72,2.39,4.59,3.31,2.76,2.64,2.56,3.14,4.1,3.34,3.15,1.74,0.81,3.73,3.96,2.07,3.71,5.03,1.06,2.27,1.75,1.4,2.17,4.84,1.45,1.5,1.76,1.1,4.2,4.29,3.21,3.66,5.92,1.14,3.51,1.4,4.18,2.03,5.38,3.04,2.4,1.88,2.09,3.8,1.41,2.93,3.41,3.08,1.72,2.91,4.67,3.93,4.62,4.88,7.69,2.76,1.72,0.96,1.98,3.01,4.1,1.44,,,,,,,,,,,,,,,,,,,,,,
August,,,2.12,3.63,2.38,2.26,1,2.17,2.25,5.44,2.68,5.03,3.46,2.39,4.7,3.35,2.06,3.15,2.67,0.72,2.81,3.38,2.84,4.18,2.23,3.15,3.43,2.27,2.26,2.3,3.51,1.12,4.82,1.41,1.41,1.57,3.43,3.81,2.71,2.03,1.99,1.99,2.36,4.18,2.26,1.1,1.32,2.25,2.31,2.8,5.96,1.87,2.1,1.22,4.38,2.38,1.41,2.71,1.13,1.31,1.76,4.81,2.57,4.15,0.9,4.06,3,0,,,,,,,,,,,,,,,,,,,,,,
September,,,2.59,3.54,1.46,4.05,1.75,2.97,1.79,1.04,1.73,5.12,1.98,3.47,0.61,1.39,4.2,1.64,1.7,3.65,2.45,1.53,1.4,2.95,2.15,2.24,1,1.23,3.33,1.91,1.13,1.02,1.77,2.1,1.34,2.8,1.71,1.78,5.2,2.62,1.72,0.97,2.78,3.71,4.4,2.55,4.58,6.38,2.66,1.28,4.53,0.89,3.59,0.9,2.9,4.24,2.6,1.53,3.6,2.18,2.3,0.55,2.92,3.28,2.05,2.37,3.7,1.67,,,,,,,,,,,,,,,,,,,,,,
October,,,3.26,2.14,2.31,2.35,2.4,2.84,1.59,3.52,3.85,2.56,5.4,2.49,2.89,6.32,4.4,2.37,2.86,0.75,3.23,3.05,1.69,4.47,0.87,3.47,5.49,5.07,2.6,2.14,1.69,3.13,4.06,1.55,2.06,2.65,3.65,3.74,2.29,2.98,2.85,1.48,2.33,3.51,2.96,2.68,5.21,3.34,2.83,3.2,3.05,1.53,6.59,4.72,3.48,3.13,1.18,3.37,2.96,3.09,3.22,4.85,3.87,2.07,3.19,3.97,0.5,1.99,,,,,,,,,,,,,,,,,,,,,,
