"UPPER USK 1",,,,,,,,,,,,
Grid ref,SN829291,Long,-3.705187,Lat,51.948030,,,,,,,
Station no,4111/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.16,6.35,1.90,4.46,4.08,6.29,6.33,5.57,6.55,7.10,,
February,6.34,2.48,3.79,5.48,2.08,0.73,5.94,7.89,0.73,7.01,,
March,5.69,3.37,4.25,4.04,4.23,3.48,5.48,1.08,5.71,3.24,,
April,4.83,3.51,4.15,1.39,3.27,1.56,0.74,1.30,5.50,5.16,,
May,3.03,4.61,2.54,3.66,5.08,1.82,2.36,4.41,1.78,1.86,,
June,0.97,4.32,2.00,5.86,5.83,2.78,1.60,3.96,2.98,2.24,,
July,1.27,3.01,4.97,4.45,2.01,4.02,5.88,4.32,4.18,5.23,,
August,7.23,5.93,5.01,5.62,1.18,6.27,5.44,4.02,1.29,4.63,,
September,5.38,2.95,6.05,6.29,2.82,5.50,8.71,9.40,0.70,5.55,,
October,1.46,4.85,4.51,9.25,3.75,3.49,4.70,5.56,-999.00,7.29,,
November,12.90,2.89,5.48,10.13,4.21,2.92,3.64,3.37,9.37,12.71,,
December,6.64,3.94,1.99,6.04,6.97,6.06,5.42,5.39,10.41,6.60,,
Total,62.90,48.21,46.64,66.67,45.51,44.92,56.24,56.27,57.83,68.62,,
Calc annual,62.90,48.21,46.64,66.67,45.51,44.92,56.24,56.27,49.20,68.62,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,8.63,0.00,,
