MELBOURNE-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK386254,Long,-1.4286013,Lat,52.824754,Elevation,180,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.49,2.28,,1.71,4,2.07,1.75,0.36,0.81,2.58,3.06,2.83,1.82,3.7,3.51,0.9,1.32,2.29,2.25,1.43,1.96,1.79,3.86,1.19,2.79,,
February,,,,3.65,2.27,,3.1,1.78,0.98,2.89,2.38,3.89,2.5,2.73,1.2,2.89,0.56,0.48,0.87,1.95,1.17,0.08,2.35,2.54,2.34,0.13,0.71,3.33,,
March,,,,2.22,1.25,,3.51,2.22,1.04,1.1,1.8,2.21,1.56,1.22,1.9,1.16,2.83,1.31,2.2,3.76,1.09,1.43,1.09,0.31,1.07,1.7,2.51,2.46,,
April,,,,0.49,1.18,,3.93,3.04,1.48,2.84,2.18,2.15,3.73,2.3,2.01,2,2.14,1.18,2.55,3.39,0.6,2.45,0.81,0.65,1.2,2.1,1,2.23,,
May,,,,2.32,0.99,,0.86,3.29,5.42,2.7,1.88,1.28,2.02,1.42,1.2,2.79,5.62,1.97,0.71,3.51,1.93,2.57,1.83,2.14,1.68,0.59,0.44,1.6,,
June,,,,3.24,0.53,,2.44,1.3,2.62,5.91,3.19,1.93,5.53,4.92,1.17,3.36,0.88,1.12,1.96,0.51,2.57,4.66,3.43,0.76,1.91,1.03,2.18,2.94,,
July,,,,2.88,1.32,,1.46,2.76,0.79,2.87,5.42,1.48,4.8,2.19,4.28,0.3,2.94,1.69,5.83,2.84,2.38,2.32,1.69,3.17,2.3,2.81,1.66,0.33,,
August,,,,2.88,2.49,,2.25,4.33,6.15,4.71,1.8,5.23,1.59,1.66,2.03,2.27,2.66,1.81,2.66,2.84,2.48,4.04,2.98,1.4,1.92,3.17,1.78,2.47,,
September,,,,1.67,3.06,,4.5,2.44,2.39,3.67,6.23,1.94,1.99,4.76,1.66,3.27,1.25,2.07,1.21,2.5,1.39,0.94,3.81,2.98,0.61,0.65,3.28,2.74,,
October,,,,2.19,1.97,,1.4,2.69,2.76,0.72,2.87,3.14,7.02,2.63,1.66,5.92,4.75,1.65,0.55,2.76,1.98,5.14,2.99,2.01,2.3,2.81,2.49,1.06,,
November,,,,2.53,2.45,,3.65,3.62,2.94,1.26,2.33,2.96,3.77,4.52,0.77,2.51,1.98,1.77,3.67,0.89,3.59,2.25,1.26,1.52,2.35,3.28,1.27,1.61,,
December,,,,0.33,2.92,,5.41,2.17,3.72,1.2,3.38,2,5.18,0.99,2.81,0.83,3.44,1.67,2.5,2.02,0.84,3.8,1.32,2.73,1.97,2.05,3.65,2.82,,
Total,,,,26.89,22.71,,34.22,33.64,32.36,31.62,33.82,29.02,42.27,32.4,23.52,29.12,32.75,20.23,25.61,28.29,22.31,31.93,24.99,22.17,21.44,24.18,22.16,26.38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is The Grange. Relationship to church agrees. No altitude stated, OS figure used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
