"STANTON-BY-BRIDGE (WATERWORKS)",,,,,,,,,,,,
Grid ref,SK375272,Long,-1.444719,Lat,52.841012,,,,,,,
Station no,2647,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,2.23,1.03,1.28,2.10,3.10,1.54,2.61,3.40,5.36,,
February,2.75,0.67,1.55,2.42,2.03,0.62,2.32,3.54,0.22,1.83,,
March,3.75,2.22,1.21,1.87,2.85,0.97,2.05,1.57,1.34,1.58,,
April,1.67,1.99,2.51,0.33,1.15,1.12,0.22,0.89,2.36,1.17,,
May,2.89,3.00,1.84,4.45,3.67,0.63,0.90,2.01,0.56,1.33,,
June,1.46,2.22,2.02,2.97,4.52,2.49,1.28,4.62,0.85,3.21,,
July,0.94,0.61,1.98,2.02,0.92,2.41,2.63,5.23,1.39,3.72,,
August,4.53,1.90,2.95,4.72,0.54,4.93,2.23,1.87,0.97,3.36,,
September,1.56,1.24,1.65,2.19,1.25,2.30,5.87,2.38,0.06,4.35,,
October,0.87,2.76,2.44,3.11,1.76,1.27,1.27,2.62,2.11,5.32,,
November,5.21,1.68,1.52,5.46,1.94,0.56,2.23,1.37,3.11,3.10,,
December,2.19,2.47,1.14,3.19,1.89,3.42,1.87,2.96,3.89,3.31,,
Total,30.41,22.99,21.84,34.01,24.62,23.82,24.41,31.67,20.26,37.64,,
Calc annual,30.41,22.99,21.84,34.01,24.62,23.82,24.41,31.67,20.26,37.64,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
