THE-PEAK-NUNGRAIN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK106901,Long,-1.8420153,Lat,53.407612,Elevation,1320,ft.,,,,,,,,,,,,
Station no,RR7348,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,8.57,2.93,5.82,4.05,5.92,2.61,5.57,5.72,4.75,,,,,
February,,,,,,,7,3.49,5.9,5.22,6.07,7.79,1.94,1.95,3.44,,,,,
March,,,,,,,5.82,6.05,5.42,5.58,1.46,4.62,8.45,7.95,7.68,,,,,
April,,,,,,,3,4.21,3.61,3.98,6.71,5.45,2.43,5.23,2.91,,,,,
May,,,,,,,4.93,6.14,3.72,3.07,4.91,1.42,3.6,3.59,3.84,,,,,
June,,,,,,,2.17,10.01,2.34,5.01,4.49,5.23,6.3,3.82,4.18,,,,,
July,,,,,,,4.12,3.67,6.2,8.81,8.01,0.89,7.69,1.56,5.46,,,,,
August,,,,,,,5.61,6.67,4.68,3.98,7.85,3.11,10.33,2.89,4.59,,,,,
September,,,,,,,2.48,1.08,4.24,4.1,0.69,3.63,4.37,2.94,4.4,,,,,
October,,,,,,,7.81,7.13,1.62,8.13,3.9,4.6,4.67,3.84,3.28,,,,,
November,,,,,,,7.6,4.89,5.4,2.97,6.49,7.18,4.48,6.44,6.83,,,,,
December,,,,,,,6.15,5.91,4.09,10.06,8.51,9.98,9.94,3.45,7.69,,,,,
Total,60.29,54.94,47.58,66.41,44.3,52.72,65.26,62.18,53.04,64.96,65.01,56.51,69.77,49.38,59.05,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Nungrain Brink at the stated altitude.,,,,,,,,,,,,,,,,,,,,
NGR could be upto 250m NW or up to 250m SSW,,,,,,,,,,,,,,,,,,,,
