THE PEAK NUNGRAIN NO 45.,,,,,,,,,,,,
Grid ref,SK108900,Long,-1.839010,Lat,53.406709,,,,,,,
Station no,RR7348,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,8.57,2.93,5.82,4.05,,
February,,,,,,,7.00,3.49,5.90,5.22,,
March,,,,,,,5.82,6.05,5.42,5.58,,
April,,,,,,,3.00,4.21,3.61,3.98,,
May,,,,,,,4.93,6.14,3.72,3.07,,
June,,,,,,,2.17,10.01,2.34,5.01,,
July,,,,,,,4.12,3.67,6.20,8.81,,
August,,,,,,,5.61,6.67,4.68,3.98,,
September,,,,,,,2.48,1.08,4.24,4.10,,
October,,,,,,,7.81,7.13,1.62,8.13,,
November,,,,,,,7.60,4.89,5.40,2.97,,
December,,,,,,,6.15,5.91,4.09,10.06,,
Total,60.29,54.94,,,44.30,52.72,65.26,62.18,53.04,64.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,65.26,62.18,53.04,64.96,,
Difference,60.29,54.94,NaN,NaN,44.30,52.72,0.00,-0.00,0.00,0.00,,
