"LIVERPOOL, ST MICHAEL'S HAMLET",,,,,,,,,,,,,,,,,,,,
Grid ref,SJ367869,Long,-2.9529385,Lat,53.375147,Elevation,74,ft,,,,,,,,,,,,
Station no,RR8169,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.66,0.82,0.92,2.31,3.32,,,,,,
February,,,,,,,,,,2.55,1.38,3.98,1.67,1.86,,,,,,
March,,,,,,,,,,1.12,1.82,3.18,2.22,1.38,,,,,,
April,,,,,,,,,,1.85,1.47,1.33,4.29,0.98,,,,,,
May,,,,,,,,,,2.15,2.16,3.25,1.5,0.74,,,,,,
June,,,,,,,,,,4.77,2.84,1.87,5.24,2.69,,,,,,
July,,,,,,,,,,3.76,5.84,2.6,3.49,4.09,,,,,,
August,,,,,,,,,,6.83,1.65,5.17,2.85,2.66,,,,,,
September,,,,,,,,,,3.12,3.14,1.89,2.58,5.79,,,,,,
October,,,,,,,,,,1.43,4.42,2.98,2.74,5.33,,,,,,
November,,,,,,,,,,1.25,3.48,2.39,5.56,2.87,,,,,,
December,,,,,,,,,,1.7,5.47,3.36,3.91,1.76,,,,,,
Total,,,,,,,,,,32.19,34.49,32.92,38.36,33.47,,,,,,
