BALBRIGGAN DUBLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO 2042963622,Long,-6.181003932,Lat,53.60878902,Elevation,57,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,4.9,2.7,1.43,3.79,2.29,5.23,3.64,3.76,2.28,3.96,0.7,5.97,2.48,2.52,0.93,0.86,1.55,3.36,,2.05,3.58,1.87,1.18,1.95
February,,,,,,,4.37,2.65,1.93,1.88,1.92,3.17,3.12,0.78,2.11,1.81,4.07,1.56,1.48,3.9,2.14,3.47,2.16,3.44,,,2.37,0.82,0.55,2.79
March,,,,,,,4.9,2.54,2.63,3.6,2.19,1.5,3.2,3.12,1.16,1.03,2.55,2.97,1.02,2.27,3.6,2.48,2.42,1.43,,,3.44,1.31,4.13,1.83
April,,,,,,,2.87,2.72,1.76,2.01,0.71,3.9,3.53,0.4,1.68,0.79,1.75,4.43,2.09,2.21,2.42,1.65,3.88,1.59,,,1.95,1.69,1.89,2.77
May,,,,,,,1.65,2.36,1.58,4,2.78,0.59,2.49,1.51,1.48,1.65,0.46,2.45,4.96,2.23,0.49,2.33,2.34,2,,,5.05,1.04,1.85,1.77
June,,,,,,,3.76,1.08,1.19,0.72,1.33,1.47,3.58,0.85,0.77,2.15,1.85,2.35,3.24,4.83,2.22,2.67,2.62,1.54,,,1.07,0.45,2.91,0.11
July,,,,,,,1.02,3.9,1.24,1.58,0.78,4,1.69,4.18,1.8,2.22,1.21,3.23,0.36,4.04,6.43,1.42,3.9,2.27,2.78,1.32,3.16,2.29,5.19,1.87
August,,,,,,,3.39,3.58,5.45,1.2,1.66,2.12,2.68,3.98,4.17,1.58,3.78,3.31,5.81,3.68,1.07,4.74,2.64,3.01,1.29,2.55,1.74,3.01,1.54,4.78
September,,,,,,,,3.22,1.98,5.06,3.22,4.04,3.37,2.74,2.43,4.61,3.75,1.96,2.91,3.79,2.36,1.55,3.16,3.09,1.3,5,2.34,1.52,0.49,1.27
October,,,,,,,,3.83,1.8,1.26,7.39,2.24,3.88,3.29,3.87,6.74,5.72,2.85,1.94,0.88,6.44,2.75,2.97,1.87,1,3.14,5.63,1.24,1.4,3.71
November,,,,,,,,0.7,2.45,2.64,1.51,1.8,4.98,1.82,4.73,5.44,5.39,3.93,1.09,1.04,3.25,2.89,4.28,3.51,1.93,2.16,2.14,3.08,4.19,1.49
December,,,,,,,,,6.48,3.34,3.14,1.45,7.1,0.66,4.85,1.61,8.61,3.11,1.33,1.38,2.53,1.85,3.89,1.4,2.12,0.81,2.77,2.11,3.71,2.25
Total,,,,,,,,,29.92,31.08,28.92,31.51,43.26,27.09,31.33,33.59,39.84,38.12,28.71,32.77,33.88,28.66,35.81,28.51,,,35.24,20.43,29.03,26.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Jan-June estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885  Feb-June estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
