BALBRIGGAN - monthly gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2042963622,Long,-6.181003932,Lat,53.60878902,Elevation,57,ft,,,,,,,,,,,,
Station no,6127,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,5.1,3.65,3.7,2.25,3.9,0.68,5.84,2.4,2.45,,,,,-999,,,,,
February,,3,3.22,0.78,2.05,1.75,4,1.47,1.55,3.81,,,,,-999,,,,,
March,,1.5,3.17,3,1.15,1.02,2.35,2.94,0.99,2.18,,,,,-999,,,,,
April,,3.9,3.46,0.4,1.65,0.79,1.75,4.35,2.05,2.16,,,,,-999,,,,,
May,,0.58,2.5,1.45,1.46,1.6,0.44,2.45,4.87,2.18,,,,,-999,,,,,
June,,1.45,3.55,0.85,0.72,2.15,1.85,2.34,3.15,4.83,,,,,-999,,,,,
July,,3.94,1.67,4.2,1.75,2.21,1.19,3.17,0.33,4.04,,,,,2.77,,,,,
August,,2.1,2.71,3.85,4.1,1.55,3.72,3.3,5.72,3.68,,,,,1.17,,,,,
September,,3.27,3.37,2.65,2.4,4.5,3.68,1.93,2.7,3.79,,,,,1.28,,,,,
October,,2.2,3.75,3.2,3.78,6.7,5.7,2.82,1.84,0.76,,,,,0.87,,,,,
November,,1.75,4.93,1.8,4.6,5.4,5.37,3.8,0.95,0.9,,,,,1.74,,,,,
December,,1.4,7.25,0.61,4.8,1.6,8.55,3.08,1.25,1.23,,,,,1.98,,,,,
Total,,30.19,43.23,26.49,30.71,33.17,39.28,37.49,27.8,32.01,,,,,17.46,,,,,
,,,,,,,,,,,,,,,,,,,,
1884 Jan-June bracketed,,,,,,,,,,,,,,,,,,,,
"NGR for Sunshine House, Balbriggan - distance/elevation from St Goerge's church as per record",,,,,,,,,,,,,,,,,,,,
