GRIMWITH TREENLA HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE069659,Long,-1.896008,Lat,54.088964,Elevation,1201,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,1.86,6.16,6.21,1.13,0.45,0.51,3.15,4.69,8.43,2.95,3.88,2.17,1.25,1.85,5.49,1.46,3.05,1.44,5.74,3.41,2.45,2.53,4.14,6.54,5.65,1.76,1.49,3.21,3.4,1.41,4.06,1.96,3.41,1.96,5.06,1.78,4,4.98,3.12,5.62,3.4,3.8,3.82,5.55,5.67,6.83,4.47,3.15,3.5,5.07,6.77,5.28,10.88,3,8,3.4,5.25,3.4,4.2,2.14,4.75,5.8,8.15,6.77,3.57,4.28,6.87,7.18,6.05,6,4.86,4.03,10.97,2.32,3.05,4.78,4.43,2.1,2.88,3.02,5.25,5.7,3.98,4.12,6.2,,,,,,,,
February,,,,,,,5.56,4.54,2.21,2.81,4.28,4.49,2.83,2.87,3.06,3.68,0.58,1.43,0.26,2.21,0.93,0.6,2.71,5.53,7.21,0.71,1.44,3.41,3.65,2.41,3.79,1.75,1.04,2.02,3.94,2.1,2.01,2.21,2.91,2.12,4.12,3.8,2.4,2.24,3.41,6.82,5.9,1.02,5.69,2.32,3.87,0.25,4,5.6,1.34,7.2,5.3,2.6,6.1,1.38,1.5,5.75,0.8,7.25,0.3,8.25,4.2,7.1,3.05,5.18,3.75,6.75,2.76,3.95,2.85,6.56,4.97,4.24,4.17,3.35,6.97,4.2,1,3.9,3.21,3.92,3.08,3.8,7.48,1.06,4.4,,,,,,,,
March,,,,,,,4.8,4.21,2.45,2.09,2.03,3.8,4.61,0.87,2.25,3.03,2.42,1.42,2.76,2.48,4.19,1.48,0.74,1.35,3.84,3.35,4.91,6.52,2.4,0.92,0.65,1.34,1.92,4.86,2.25,3.19,3.21,3.36,4.16,3.18,0.73,2.31,4.8,5.55,3.86,1.69,4.02,3.06,1.93,5.42,3.46,3.31,3.48,1.96,1.68,1.12,2.3,4.25,5.18,0.73,3.02,1.3,3.45,3.2,4.15,1.52,3.3,3.65,1.65,3.74,1.76,4.47,3.75,1.85,0.64,1.57,1.71,7,3.16,1.8,1.95,4.38,3.6,0.77,3.45,2.47,2.43,4.9,1.9,2.76,2.7,,,,,,,,
April,,,,,,,3.19,1.32,2.55,2.81,1.68,1.84,4.11,3.18,1.87,1.57,2.87,1.38,2.56,3.56,1.69,2.89,1.95,0.61,3.01,2.46,2.21,2.45,3.72,4.09,2.46,1.65,1.09,1.75,2.46,2.89,0.92,2.19,2.69,2.96,2.24,1.5,0.8,4.38,1.2,1.81,2.33,2.61,0.81,2.51,5.95,1.32,2.73,3,2.14,4.62,1.76,4.48,0.85,2.24,4,5.16,4.6,2.2,4.5,3.45,1.65,3.3,0.9,2.17,1.25,3.52,1.97,2.82,3.24,3.28,2.36,5.06,2.38,5.02,3.47,2.36,2.6,3.2,1.25,1.5,2.14,0.6,1.2,4.1,3.65,,,,,,,,
May,,,,,,,1.04,3.55,5.25,2.11,1.82,3.34,1.49,1.15,2.36,2.7,4.12,2.03,0.95,1.94,2.87,2.25,3.18,2.06,2.1,0.46,0.61,1.81,1.78,3.95,2.01,1.15,1.87,3.04,3.11,0.48,4.05,3.21,2.52,2.13,1.98,1.12,2.63,2.72,2.26,1.8,2.3,2.88,2.28,1.3,4.76,2.02,1.06,3.92,6.02,6.3,3.46,2.03,1.55,2.72,2.5,3.3,4.64,3.05,3.6,1.35,2.2,3,3.55,0.8,2.97,2.24,3.96,3.88,3.04,3.76,2.54,4.12,1.57,2.3,1.8,5.13,1.79,2.17,3.97,4.17,2.2,2,6,1,2.2,,,,,,,,
June,,,,,,,3.16,2.27,3.33,5.9,4.95,2.22,4.25,3.54,0.29,2.3,1.19,0.08,2.56,0.25,3.25,0.61,4.51,2.36,2.31,1.84,3.41,3.26,3.21,1.59,3.87,0.94,0.94,1.85,2.08,1.51,1.12,4.95,3.12,2.09,1.81,2.21,6.98,2,2.52,0.4,2.4,2.66,1,1.18,1.28,0.12,2.12,1.06,2.06,0.08,5.38,4.12,5.95,2.03,2.72,6.62,1.7,2,2.4,4.4,5.25,2.4,4.5,3.95,0.43,0.84,0.8,3.95,3.1,4.6,3.32,4.8,4.39,0.92,2.77,1.32,2.55,3.09,3.54,3.75,3.62,2,4.2,1.4,2.5,,,,,,,,
July,,,,,,,3.36,5.14,0.78,5.92,5.78,6.36,5.1,4.19,6.84,1.4,4.37,1.74,6.02,3.21,3.21,3.98,1.89,4.75,2.9,4.47,2.24,1.24,1.27,1.95,2.15,1.91,1.65,3.35,1.41,0.56,2.01,1.94,3.92,4.07,2.39,0.6,5.4,1.26,3.62,4.86,2.34,1.48,5.02,2.72,6.84,2.71,5.18,4.58,4.48,2.42,4.3,6.28,1.55,3.2,5.9,5.2,6.3,3.6,2.1,2.31,4.8,2.6,4.25,5.95,5.15,2.38,4.05,2.97,3.69,1.98,4.35,2.74,1.21,2.76,3.67,3.06,1.83,4.9,4.02,1.53,7.1,5.1,4.1,3.3,8.2,,,,,,,,
August,,,,,,,2.92,6.78,8.09,5.42,2.38,5.21,1.95,2.76,1.65,1.42,2.08,2.37,3.91,3.35,5.75,5.68,4.92,3.49,3.22,3.52,1.58,4.52,4.71,2.01,5.51,2.48,1.86,3.96,3.32,4.89,3.76,2.96,2.96,3.08,4.02,2.28,6.45,1.97,2.2,2.8,3.16,7.86,3.35,2.91,2.68,5.33,3.88,5.35,4.43,4.81,4.5,8.6,6.5,5.45,5.8,4.26,1.55,0.9,4.1,1.56,2.75,2.25,3.45,2.24,1.77,4.94,4.39,5.6,2.42,4.41,8.03,0.62,4.8,3.12,7.6,5.6,6.9,6.04,9.1,1.44,9.9,6.4,4.7,0.69,4.5,,,,,,,,
September,,,,,,,4.92,3.97,3.96,1.9,4.5,3.54,2.94,2.23,2.42,1.81,2.87,5.78,1.16,1.25,1.95,3.01,2.85,3.25,0.31,1.74,6.71,3.89,1.07,4.78,0.93,1.05,1.51,4.54,1.48,3.86,0.91,0.66,4.18,1.98,0.3,2.45,2.88,1.43,2.54,0.7,2.62,1.63,8.8,1.51,1.76,2.27,4.12,4.98,4.18,3.27,3.9,7.25,0.76,2.1,5.5,4.63,6.25,2.85,3.8,7.18,3.45,2.25,1.75,1.91,4.88,0.5,3.15,5.72,6.94,3.12,7.2,2.54,3.47,1.1,6.2,3.49,4.71,4.32,5.7,2.26,5.32,5.3,5.2,0.38,4.1,,,,,,,,
October,,,,,,,3.04,7.1,4.59,2.6,4.27,4.83,3.59,6.53,2.33,4.95,5.79,2.98,0.95,5.16,2.69,3.46,6.66,4.01,5.98,4.35,4.39,2.15,6.21,3.14,5.77,1.92,2.48,8.61,1.38,2.36,6.15,5.71,2.14,3.71,4.1,3.15,4.49,2.28,2.68,1.52,9.86,4.82,3.41,4.31,3.21,2.16,1.19,5.42,4.5,5.7,5.16,6,7.28,6.06,5.58,1.85,5.3,4.25,6.6,9.25,3.92,2.45,13.1,4.05,4.57,5.92,5.65,3.45,4.45,6.48,2.95,1.86,2.52,5.2,3.3,1.91,5.78,2.32,9.04,2.6,2.6,7.6,4.1,5.2,7.4,,,,,,,,
