BURTON-BRADSTOCK-WHITE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY488896,Long,-2.72586,Lat,50.703773,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1574/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.44,2.95,4.83,3.31,3.96,,,2.46,2.39,3.35,2.77,6.12,0.83,0.76,3.54,2.15,0.92,1.67,3.05,4.22,2.62,3.02,4.97,3.49
February,,,,,,,4.71,1.04,1.85,3.03,2.96,,,,2,2.54,1.96,1,1.23,5.56,5.03,0.96,1.83,2.91,2.11,0.15,4.15,3.13,0.42,3.09
March,,,,,,,3.58,0.3,1.21,3.22,2.65,,,0.14,0.8,1.2,7.35,1.29,1.3,1.4,3.89,3.23,0.65,4.22,1.6,0.81,2.71,1.59,4.15,2.5
April,,,,,,,2.16,0.09,1.9,1.49,2.43,,,1.7,,1.87,2.11,1.61,1.68,2.09,1.77,1.98,2.83,0.25,0.99,0.84,0.17,0.76,2.58,2.83
May,,,,,,,2.92,1.45,0.54,1.91,1.6,,,0.51,3.87,4.34,2.61,2.75,0.06,1.52,2.86,2.64,2.54,1.7,3.44,0.56,1.41,2.89,0.71,1.4
June,,,,,,,0.77,0.58,2.42,0.32,1.94,,,1.93,3.54,3.04,1.3,1.78,0.43,0.75,0.63,1.25,2.17,3.04,2.88,2.31,2.09,3.6,0.97,1.43
July,,,,,,,2.9,2.99,3.94,2.19,1.04,,,3.17,1.4,1.55,2.67,1.28,1.18,3.86,2.01,1,2.8,3.25,4.95,2.74,3.37,2.19,1.87,2.92
August,,,,,,,1.06,2.64,2.07,0,3.1,,,,2.13,4.04,1.14,4.07,1.19,4.46,4.71,3.49,1.98,3.27,0.71,3.5,2.02,3.17,1.9,5
September,,,,,,,3.98,1.95,1.08,1.98,1.55,,,1.06,2.09,4.41,1.89,3.73,4.43,4.51,3.61,3.85,3.82,3.16,1.61,6.3,2.81,5.37,0.1,6.76
October,,,,,,,3.95,2.96,6,3.15,1.32,,,4,4.38,1.24,0.85,2.17,6.04,1.78,0.64,4.3,3.57,2.59,2.71,2.37,2.45,2.76,3.27,8.71
November,,,,,,,2.31,5.36,6.48,6.69,1.23,,,4.76,1.21,5.33,2.09,1.88,3.67,6.28,8.72,4.11,1.52,6.35,3.09,0.74,2.46,2.92,4.46,5.11
December,,,,,,,3.13,3.02,1.54,2.39,2.52,,,2.14,4.65,4.21,2.93,5.71,1.77,2.8,3.09,3.15,0.92,2.82,5.49,5.63,2.71,5.76,7.4,4.2
Total,,,,,,,35.91,25.33,33.86,29.68,26.3,,,,,37.12,29.67,33.39,23.81,35.77,40.5,32.11,25.55,35.23,32.63,30.17,28.97,37.16,32.8,47.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Part estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Feb Aug Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed Too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Nov 5th Gauge moved 300yds E from unknown location but elevation of 50ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan 1st Gauge moved to garden of White House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Corrected for arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 29th Inspection Gauge rim detached Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
