BUDLEIGH-SALTERTON-KNOWLE-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SY046823,Long,-3.35,Lat,50.633,Elevation,245,ft,,,,,,,,,,,,
Station no,1800/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.99,2.14,0.57,5.81,5.04,3.42,6.17,1.9,4.73,4.06,7.69,1.93,2.98,3.31,2.97,5.49,,
February,,,5.06,0.1,3.07,3.2,6.43,0.83,1.54,3.84,3.39,0.37,1.41,0.5,1.83,2.52,1.79,1.19,,
March,,,4.12,2.65,1.3,4.1,5.16,0.16,1.43,2.78,2.64,3.14,1.34,0.14,0.77,1.22,8.09,1.24,,
April,,,1.76,2.69,3.31,2.37,2.66,0.19,2.47,3.26,1.61,1.7,0.87,1.78,0.6,2.41,2.7,2.42,,
May,,,1.56,0.9,2.01,0.62,2.88,2.19,0.56,1.68,2.2,5.54,2.53,0.43,3.81,5.56,3.42,2.58,,
June,,,2.28,1.74,3.93,2.05,0.75,1.49,2.79,0.66,1.77,0.7,1.19,1.83,2.63,2.45,2.59,1.85,,
July,,,2.78,0.48,0.38,4.96,2.82,3.44,5.41,2.4,0.82,1.61,2.22,2.68,1.98,1.15,1.51,1.18,,
August,,,1.22,2.76,2.37,0.14,1.6,4.73,4.36,0.05,3.65,3.77,2.43,4.38,2.22,3.9,1.35,3.41,,
September,,,2.85,2.51,2.68,3.19,2.65,1.14,1.61,1.46,0.87,2.53,3.18,1.63,2.73,4.65,1.75,1.26,,
October,,,2.79,2.62,4.29,0.97,3.41,2.98,4.85,3.98,1.6,3.88,3.95,3.91,3.61,2.55,1.17,2.98,,
November,,,1.41,1.81,6.25,2.46,1.91,6.06,4.96,6.21,2.37,0.79,2.31,5.31,1.15,5.68,2,1.69,,
December,,,2.98,9.68,4.65,3.84,2.94,4.15,1.7,3.17,2.58,3.92,3.65,2.56,4.9,4.09,2.18,6.08,,
Total,,,31.8,30.08,34.81,33.71,38.25,30.78,37.85,31.39,28.23,32.01,32.77,27.08,29.21,39.49,31.52,31.37,,
,,,,,,,,,,,,,,,,,,,,
Invermay Knowle Hill,,,,,,,,,,,,,,,,,,,,
1949 Observer died,,,,,,,,,,,,,,,,,,,,
