BODMIN FORE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX069670,Long,-4.722,Lat,50.4714,Elevation,336,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4.77,6.49,9,8.19,6.94,6.28,4.25,5.01,10.17,8.71,5.73,10.84,1.59,8.95,3.44,6.68,0.97,2.27,3.07,5.45,5.36,4.35,8.31,4.05,3.16,3.12,7.44,4.42,3.86,3.56,,,,,,
February,2.37,5.2,4.74,4.04,2.64,4.74,5.36,3.79,9.2,4.89,5.55,1.71,5.1,3.49,2.99,6.77,5.83,7.62,4.36,9.46,7.95,5.94,1.95,1.1,1.57,4.08,1.71,0.21,4.71,6.49,,,,,,
March,2.52,2.64,4.4,4.85,3.48,2.72,2.83,2,5.52,4.62,2.25,1.8,4.87,3.68,2.83,1.33,3.08,5.9,1.8,1.88,5.25,2.61,4.11,2.17,5.28,5.7,2.94,3.52,1.25,0.39,,,,,,
April,1.67,1.46,2.03,4.48,3.8,1.59,0.33,5.79,4.62,0.61,2.66,2.17,4.11,5.84,3.46,3.61,2.74,1.97,7.35,2.26,2.33,5.99,3.08,1.21,1.87,1.89,3.18,2.69,2.14,0.28,,,,,,
May,1.56,2.98,2.35,3.95,2.5,6.28,2.87,0.47,2.98,2.13,1.07,3.26,0.31,6.39,6.8,2.08,1.4,1.8,1.9,2.76,1.44,3.15,3.98,2.05,2.29,4.52,5.04,4.44,2.04,1.32,,,,,,
June,3.18,1.88,2.41,1.65,0.84,0.53,1,2.65,3.14,2.13,2.12,3.53,1.85,2.19,4.29,8.74,2,6.02,5.41,4.31,1.14,2.74,1.1,0.1,3.93,0.8,3.98,2.96,2.46,1.06,,,,,,
July,1.45,3.92,2.01,5.37,0.76,0.92,2.18,5.79,3.26,4.28,2.31,3.57,0.96,5.07,1.95,5.07,4.67,3.33,6.63,5.22,4.96,0.86,3.93,1.85,10.5,4.12,5.07,2.66,1.27,4.7,,,,,,
August,1.48,4.85,6.51,1.53,4.03,0.79,3.99,2.84,2.02,6.55,5.04,3,5.64,6.71,6.69,6.31,0.59,4.87,4.23,1.5,2.24,2.76,3.1,2.3,2.9,4.02,3.62,8.31,4.76,2.62,,,,,,
September,5.07,0.14,9.25,1.78,5.72,5.73,2,8.54,4.73,4.12,6.97,7.36,6.64,3.8,3.28,4.42,4.32,1.94,5.68,7.31,2.67,9.34,4.31,5.31,1.88,1.89,2.28,4.13,3.21,3.62,,,,,,
October,3.59,8.55,3.04,7.43,6.2,3.76,7.55,7.52,8.11,4.5,5.7,8.81,5.94,3.99,7.1,2.94,8.17,4.97,7.58,5,2.77,7.69,8.83,5.02,2.46,7.52,4.5,10.29,6.79,5.6,,,,,,
November,5.59,6.37,4.04,1.46,7.87,4.44,4.46,1.88,8.01,6.07,5.24,7.2,5.45,8.49,5.31,1.19,4.77,7.26,6.69,6.22,3.27,4.81,4.3,4.73,9.39,3.3,6.67,6.54,4.52,,,,,,,
December,5.2,4.66,5.47,3.79,9.56,5.62,3.31,4.7,9.59,1.37,7.03,2.86,13.4,4.77,5.53,2.25,6.67,7.08,8.64,2.01,5.67,2.49,6.71,4.52,5.73,3.88,5.81,7.58,3.02,,,,,,,
Total,38.45,49.14,55.25,48.52,54.34,43.4,40.13,50.98,71.35,49.98,51.67,56.11,55.86,63.37,53.67,51.39,45.21,55.03,63.34,53.38,45.05,52.73,53.71,34.41,50.96,44.84,52.24,57.75,40.03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note; The observer was resident at 65 Fore St, Bodmin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
