HYDE-PARK-RECEIVING-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ273801,Long,-0.16719785,Lat,51.505504,Elevation,73,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,1.11,1.01,3.06,1.86,0.35,3.51,0.92,1.09,2.17,1.96,1.67,1.49,1.79,0.98,2.36,1.52,1.72,1.4,2.68,,
February,,,,,,,,,,,1.73,1.01,1.13,0.63,1.7,2.43,2.78,0.6,0.77,1.55,0.42,0.18,1.52,2.29,0.28,2,2.62,2.27,1.02,,
March,,,,,,,,,,,0.79,1.23,2.21,1.87,3.21,0.62,3.65,1.32,0.82,2.66,0.81,0.87,1.2,2.25,0.52,0.47,0.1,1.7,0.76,,
April,,,,,,,,,,,1.19,1.41,0.04,2.26,0.61,1.2,1.18,1.19,2.63,2.23,2.18,1.02,2.37,1.2,2.64,1.43,2.52,1.95,0.98,,
May,,,,,,,,,,,1.82,1.23,1.07,1.42,1.38,3.86,1.51,2.49,1.66,0.25,0.5,0.9,0.98,1.87,2.5,1.19,2.14,1.16,1.94,,
June,,,,,,,,,,,1.69,2.41,3.4,0.37,1.26,0.97,1.65,3.4,1.43,1.46,1.41,0.23,1.09,0.39,2.05,0.11,2.99,2.02,1.9,,
July,,,,,,,,,,2.27,1.91,1.71,1.05,1.64,1.29,3.95,1.47,3.12,5.62,2.48,3.54,0.11,3.06,2.86,3.79,3.21,1.54,2.84,1.67,,
August,,,,,,,,,,1.35,1.45,1.05,4.1,1.18,0.95,3.21,4.69,3.68,1.49,1.92,1.4,1.11,1.74,1.34,2.12,2.08,1.35,3.81,1.87,,
September,,,,,,,,,,1.95,0.42,1.47,1.91,1.58,0.77,1.98,1.36,2.22,5.15,1.34,2.85,1.97,1.49,1.17,2.08,1.74,1.4,2.95,0.78,,
October,,,,,,,,,,3.67,1.5,2.72,1.76,2.7,1.02,1.57,2.72,2.2,0.9,0.56,1.11,0.56,0.77,4.59,3.22,2.47,1.72,0.72,2.75,,
November,,,,,,,,,,0.47,2.02,3.09,1.32,1.95,2.51,1.98,3.46,1.25,1.26,1.04,0.87,1.67,1.17,1.21,2.11,1.16,3.77,2.16,1.54,,
December,,,,,,,,,,1.84,3.11,3.61,2.33,0.59,5.31,4.73,2,0.6,1.55,2.39,1.48,0.65,2.75,1.87,2.54,1.67,0.36,2.48,1.78,,
Total,,,,,,,,,,,18.74,21.95,23.38,18.05,20.36,30.01,27.39,23.16,25.45,19.84,18.24,10.76,19.93,22.02,26.21,19.05,22.23,25.46,19.67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the Receiving House in Hyde Park.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is higher than the ground level but the gauge is noted as being on the roof so probably does match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
