TOTTENHAM-DRAYTON-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ335893,Long,-0.074431063,Lat,51.586749,Elevation,54,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,0.9,1.76,0.7,1.38,1.36,3.55,2.92,0.4,3.82,1.34,1.03,2.84,3.19,2.52,2.34,3.26,1.18,2.89,1.58,2.98,1.53,3.66,1.02,2.31,1.12,1.55,1.24,1.28,1.25,3.95,3.37,2.61,5.1,2.12,2.69,2.35,4.44,,,,,,,
February,,,,,,,,1.1,1.5,0.48,2.5,1.56,1.76,0.68,2.33,2.8,3.21,0.79,0.95,2.3,0.57,0.24,2.15,3.26,0.7,3.01,3.12,3.13,1.62,0.58,1.13,1.78,0.13,1.2,0.12,1.99,1.55,4.38,0.56,0.9,1.35,1.83,0.97,1.34,,,,,,,
March,,,,,,,,1.02,2.15,2.61,0.9,1.8,2.85,2.18,4.25,0.83,4.23,1.56,0.83,3.58,1.45,1.19,1.51,2.05,0.64,0.61,0.4,2.37,1.23,,1.55,0.18,1.2,2.17,1.97,0.46,1.14,2.51,0.31,1.29,3.21,3.13,2.09,0.41,,,,,,,
April,,,,,,,,3.33,2.5,1.75,1.73,1.6,0,2.59,0.72,0.79,1.03,2.09,3.27,3.22,3.2,1.12,2.65,1.54,2.92,1.51,3.35,1.69,1.1,1.25,1.76,3.59,1.61,0.58,2.09,3.44,1.28,2.68,0.12,2.88,1.51,1.52,1.1,1.47,,,,,,,
May,,,,,,,,1.83,1.49,1.57,2,1.09,0.8,1.49,1.7,2.96,1.63,2.31,2.91,0.46,0.77,1.05,0.82,1.9,3.33,1.51,1.9,1.56,1.97,1.61,2.85,2.85,3.28,1.46,0.51,1.12,0.28,3.11,1.72,1.34,1.6,1.73,2.36,1.59,,,,,,,
June,,,,,,,,2.34,1.34,3.8,2.24,2.5,2.87,0.45,1.7,2.05,2.15,3.18,0.83,1.65,1.43,0.47,1.48,0.76,2.72,0.12,3.29,2.64,2.68,1.08,2.5,1.54,0.68,2.46,1.04,3.16,3.33,1.76,0.41,1.13,0.59,1.49,0.26,1.32,,,,,,,
July,,,,,,,,2.79,3.34,2.97,1.82,0.86,1.51,1.94,0.97,4.68,1.34,3.85,5.51,1.62,3.72,0.17,3.29,2.49,4.01,3.91,2.29,2.37,2.12,2.04,1.65,2.41,2.02,0.97,0.98,0.82,2.78,1.2,1.17,2.69,2.91,3.19,1.53,1.51,,,,,,,
August,,,,,,,,1.6,2.4,1.56,1.58,0.62,4.17,1.76,1.28,2.05,4.83,4.1,1.81,2.48,1.72,0.95,2.53,1.67,1.8,2.45,2.24,3.62,2.25,1.65,2.48,5.17,2.98,0.44,1.93,1.74,0.35,3.04,1.27,2.8,0.05,4.6,1.75,1.41,,,,,,,
September,,,,,,,,0.67,1.18,2.55,0.66,1.35,2.07,1.34,0.76,1.65,1.38,1.92,5.27,1.02,3.04,2.58,1.97,1.23,2.91,2.02,0.91,5.03,0.75,0.35,3.38,2.18,2.02,3.09,1.74,3.09,2.23,1.53,2.95,,1.76,0.67,1.2,2.03,,,,,,,
October,,,,,,,,2.51,1.89,3.56,2.1,3.22,2.1,3.39,0.87,1.88,3.23,3.27,1.06,0.64,1.31,0.74,1.12,5.07,3.38,2.72,2.23,1.36,3.93,2.82,1.16,0.56,4.87,1.48,1.03,2.89,1.78,2.18,2.57,5.39,2.71,0.58,4,2.22,,,,,,,
November,,,,,,,,2.27,0.71,0.76,3.08,3.56,1.61,2.73,2.83,2.48,4.52,1.57,1.77,1.51,1.08,1.76,1.29,1.37,2.47,1.13,4.81,2.37,2.03,5.3,4.72,1.84,1.17,0.88,1.77,3.7,3.11,1.38,2.84,4.75,6.28,2.88,2.15,,,,,,,,
December,,,,,,,,3.6,1.74,2.61,3.16,4.35,2.75,0.74,5.48,5.71,2.5,0.83,2.2,3.32,2.47,1.11,2.72,2.14,3.14,2.42,0.31,3.2,2.34,4.13,1.77,0.83,0.46,0.34,5.18,2.41,1.85,3.46,3.34,0.74,1.14,1.98,2.5,,,,,,,,
Total,,,,,,,,23.96,22,24.92,23.15,23.87,26.04,22.21,23.29,31.7,31.39,26.5,29.25,24.99,23.28,13.72,24.79,24.66,30.91,22.99,27.83,30.87,25.68,21.83,27.26,24.05,21.97,16.31,19.64,26.07,23.63,30.6,19.87,,25.23,26.29,22.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Town Hall on Tottenham Green. This location broadly fits the relationships with the church and station and also the altitude. The observer in the 1900s and 1910s, W P West, was employed by the the Health Departmant for Tottenham, which appears to have been based at the Town Hall. The observer for the later records was the Medical Officer of Health, which suports the Town Hall location. The big problem with this is that Drayton Road is 900m NNW of the Town Hall at TQ332901. The name on the sheets and relationships to station and church are all consistent, which suggests that the gauge did not move.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 1939 and Nov/Dec 1943  readings in brackets removed along with annual totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
