MILNROW PIETHORNE COLDGREAVE - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD968125,Long,-2.049838,Lat,53.609045,Elevation,894,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.72,4.09,4.17,2.03,5.53,1.64,3.36,2.5,5.13,1.63,3.79,3.68,3.67,6.3,3.75,3.12,2.77,5.04,4.21,6.69,3.77,4.01,3.07,3.56,,,,,
February,,,1.48,4.11,3.76,1.87,3.59,2.17,2.94,1.95,4.25,4.81,2.27,1.58,3.21,4.3,5.21,1,6.43,1.05,3.87,0.57,4.69,6.07,1.17,6.46,,,,,
March,,,2.41,5.35,2.4,4.22,3.5,3.33,2.82,3.1,0.99,2.13,5.95,5.32,5.6,1.89,3.01,2.93,1.89,4.38,3.47,3.64,3.22,2.47,1.7,1.5,,,,,
April,,,1.84,2.45,3.02,3.33,1.57,2.73,2.47,3.75,3.72,2.66,1.15,5.17,1.54,1.74,2.66,1.97,1.43,1.76,5.63,1.51,3.08,3.49,2.06,2.72,,,,,
May,,,2.86,3.81,3.32,0.65,3.19,4.09,2.31,2.38,2.67,1.88,3.7,3.46,2.63,2.41,2.78,1.8,2.38,1.88,6.53,2.96,1.32,4.15,5.69,4.18,,,,,
June,,,1.6,1.86,1.15,2.9,1.6,7.56,1.94,2.22,5.07,3.42,5.1,2.65,3.16,0.92,2.87,2.22,1.34,2.06,2.88,0.36,2.64,1.08,3.18,0.06,,,,,
July,,,2.53,4.36,1.85,2.91,2.41,3.13,5.07,5.52,4.72,0.55,4.19,1.34,4.59,5.11,2.73,2.32,5.42,2.34,9.68,2.21,5.51,5.31,3.88,2.82,,,,,
August,,,3.03,5.37,4.8,4.46,4.17,4.16,3.68,3.45,5.76,3.27,7.22,2.52,3.6,5.44,3.76,7.83,3.51,3.76,3.12,6.43,5.78,5.51,5.92,3.71,,,,,
September,,,2.34,5.86,1.87,3.28,1.52,0.86,3.95,2.81,0.24,3.75,1.69,1.92,2.8,1,2.74,2.35,12.32,2.1,2.76,1.45,3.5,4.21,5.48,3.49,,,,,
October,,,5.29,9,1.86,3.7,8.27,6.72,2.13,5.94,3.95,3.38,4.52,2.38,2.7,2.38,7.7,7.11,3.87,3.39,1.73,3.53,1.22,5.7,6.16,5.93,,,,,
November,,,2.19,3.58,3.3,5.12,4.64,3.3,2.47,1.56,5.15,5.43,3.09,5.36,5.46,2.12,3.45,3.74,2.17,3.55,2.1,2.53,3.26,6.56,2.55,3.4,,,,,
December,,,3.46,2.62,3.27,0.82,3.58,4.6,2.57,7.25,4.83,6.19,5.66,2.75,6.96,7.86,3.06,2.34,8.5,6.84,4.09,6.66,4.35,4.05,5.73,3.58,,,,,
Total,,,31.75,52.46,34.77,35.29,43.57,44.29,35.71,42.43,46.48,39.1,48.33,38.13,45.92,41.47,43.72,38.73,52.03,38.15,50.07,38.54,42.34,52.61,46.59,41.41,,,,,
