"MILNROW, PIETHORNE COLDGREAVE - old gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD968125,Long,-2.049838,Lat,53.609045,Elevation,894,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.72,5,1.69,1.47,2.45,5.65,2.87,2.62,1.02,3.71,2.73,2.26,1.47,4.75,6.77,7.73,3.95,2.37,,,,,,,
February,,,,,,3.68,0.73,0.94,0.41,2.13,0.73,0.3,1.63,4.6,5.45,0.32,2.35,1.89,4.27,1.55,4.39,1.52,1.4,,,,,,,
March,,,,,,2.52,3,1.58,2.98,2.26,3.87,1.47,0.45,0.74,3.72,2.99,4.82,4.21,2.18,3.25,1.52,3.63,2.21,,,,,,,
April,,,,,,2.36,2.98,1.38,2.74,3.61,1.35,1.91,1.08,0.71,1.95,2.27,1.62,3.36,2.92,4.27,3.68,2.64,1.71,,,,,,,
May,,,,,1.87,2.35,5.75,1.84,0.87,2.32,3.3,3.28,4.63,2.97,2.49,0.7,0.65,1.8,4.36,4.1,1.84,2.03,2.64,,,,,,,
June,,,,,1.31,3.89,1.97,0.52,2.67,0.61,3.97,1.69,3.52,2.51,3.37,4.63,2.81,3.46,3.47,1.69,5.76,2.81,1.47,,,,,,,
July,,,,,4.71,1.67,5.68,2.06,6.96,3.92,3.34,3.32,3.09,3.24,3.05,6.76,2.58,1.47,0.64,1.66,3.86,2.46,2.3,,,,,,,
August,,,,,2.39,1.46,2.29,1.44,4.34,6.55,6.05,8.5,4.55,2.25,3.67,4.81,3.06,4.34,5.65,1.98,7.49,2.16,2.78,,,,,,,
September,,,,,2.75,4.68,3.99,5.71,1.63,2.59,1.88,3.16,4.64,3.01,0.33,1.89,7.95,4.38,0.76,6.35,2.41,1,2.1,,,,,,,
October,,,,,2.39,7.42,6.57,3.12,2.27,5.59,3.14,6.41,7.32,3.45,4.95,4.12,5.43,2.12,5.5,3.97,8.71,3.01,4.85,,,,,,,
November,,,,,1.78,3.25,2.45,2.73,8.47,1.83,5.7,4,3.11,2.81,2.59,3.98,1.58,5.23,3.07,1.55,6.91,6.12,1.97,,,,,,,
December,,,,,5.39,1.84,4.91,2.99,3.58,3.16,0.37,7.63,1.73,3.84,4.45,5.59,5.74,7.33,6.13,3.15,11.35,4.54,3.12,,,,,,,
Total,,,,,,37.84,45.32,26,38.39,37.02,39.35,44.54,38.37,31.15,39.73,40.79,40.85,41.06,43.7,40.29,65.65,35.87,28.92,,,,,,,
