NORWICH-UPPER-SURREY-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG230080,Long,1.2934,Lat,52.6246,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.8,3.2,2.32,1.55,2.25,3.03,1.05,1.62,2.23,2,2.68,1.15,1.05,1.54,1.63,2.36,3.42,2.32,1.67,1.23,2.97,3.67,0.37,0.05,2.53,1.28,1.48,2.42,0.65,2.03,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.87,2.27,1.35,1.3,0.97,1.76,0.52,2.55,1.2,0.65,0.69,0.97,2.25,0.52,0.86,0.96,3.32,3.39,1.4,1.61,1.41,0.17,0.29,1.14,2.5,2.75,0.51,0.63,1.48,2.86,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.53,0.95,1.12,2.1,0.72,1.45,2.18,1.01,1.97,0.15,1.18,0.55,2.77,1.3,0.67,3.21,0.55,1.3,0.49,1.62,0.47,0.88,1.07,1.31,2.97,2.6,4.28,0.61,2.43,2.66,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.75,1.68,1.63,0.9,0.12,1.54,1.73,1.67,0.24,1.63,2.89,1.63,2.68,2.77,1.55,3.04,0.36,3.09,0.72,0.26,1.29,2.46,1.53,3.58,1.39,0.9,,0.93,0.17,0.35,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.8,1.3,0.47,1.15,2.98,1.66,1.15,3.97,0.49,3.44,1.15,2.11,0.54,4.54,2.75,1.12,1.39,0.57,4.84,1.39,3.15,0.94,1.98,0.97,3.53,1.34,2.82,0.92,2.63,1.06,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.32,1.75,3.05,2.9,1.69,2.03,1.35,2.08,0.9,0.98,1.4,2.62,2.83,1.18,0.52,1.98,3.1,2.19,0.38,2.75,1.51,2.64,1.07,1.55,4.45,1.32,2.14,2.86,1.4,1.21,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.8,2.7,1.03,3.55,2.14,5.27,3.73,1.76,2.21,1.82,1.38,0.43,1.41,1.15,6.47,3.66,0.84,4.51,1.44,3.51,2.76,1.52,3.75,2.51,2.43,4.93,1.5,0.64,1.26,3.85,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.68,2.5,2.6,2.72,1.03,3.8,1.43,4.33,2.4,3.84,2.18,1.55,2.91,1.52,1.65,2.7,3.52,3.24,4.85,1.69,2.55,2.9,2.43,2.07,3.42,0.48,2.5,1.23,0.98,3.44,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.7,1.53,2.52,2.65,2.99,3.74,3.83,1.96,1.35,1.01,1.29,1.64,2.69,1.77,1.8,1.12,5.2,2.12,0.75,0.84,3.62,5.25,0.93,3.2,3.42,2.31,1.99,2.03,1.5,0,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.72,2.25,1.95,1.95,2.4,6.92,3.1,3.84,4,2.1,3.53,2.06,5.42,3.58,2.27,3.12,3.9,3.17,2.38,3.75,2.23,2.86,2.82,2.9,1.75,0.49,2.35,2.86,1.7,5.83,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
